Index,Model,Analysis Type,Restriction,RiskType,BMRF,BMD,BMDL,BMDU,P Value,AIC,Unnormalized Log Posterior Probability,Scaled Residual for Dose Group near BMD,Scaled Residual for Control Dose Group,BMDS Recommendation
167,Logistic,frequentist,Unrestricted,Extra Risk,0.1,2.409695948,2.14146222,2.735179344,0.697200207,168.6286922,-,0.164847017,0.413945462,Viable - Recommended
168,Quantal Linear,frequentist,Unrestricted,Extra Risk,0.1,13.79270012,10.94489403,17.75059126,0.208019208,140.0611009,-,7.73E-02,7.73E-02,Viable - Recommended
169,Probit,frequentist,Unrestricted,Extra Risk,0.1,0.454782328,0.374331078,0.566761501,0.833609502,110.5045608,-,2.80E-02,2.80E-02,Viable - Recommended
170,Multistage Degree 1,frequentist,Restricted,Extra Risk,0.1,33.62030655,25.08635735,47.50382996,0.985926104,118.475147,-,-5.52E-04,-5.52E-04,Viable - Recommended
171,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,0.907645037,0.428032704,13.48743828,0.874431545,104.6469825,-,-1.50E-03,-1.50E-03,Questionable
172,Dichotomous Hill,frequentist,Restricted,Extra Risk,0.1,49.84242912,6.034295646,83.72457014,65535,145.2932021,-,2.22E-03,-2.02E-03,Viable - Recommended
173,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,23.09655785,14.44158071,45.98140782,0.166843114,125.0281628,-,1.117077301,-0.176288121,Viable - Recommended
174,Weibull,frequentist,Unrestricted,Extra Risk,0.1,1.374550318,0.120965089,2.0551562,0.514788119,48.42342381,-,0.83978436,-6.05E-04,Viable - Recommended
175,Probit,frequentist,Unrestricted,Extra Risk,0.1,2.14E-02,1.72E-02,3.02E-02,0.996588947,144.6409747,-,-2.95E-03,2.72E-03,Viable - Recommended
176,Probit,frequentist,Unrestricted,Extra Risk,0.1,2.14E-02,1.72E-02,3.02E-02,0.996588947,144.6409747,-,-2.95E-03,2.72E-03,Viable - Recommended
177,Probit,frequentist,Unrestricted,Extra Risk,0.1,2.14E-02,1.72E-02,3.02E-02,0.996588947,144.6409747,-,-2.95E-03,2.72E-03,Viable - Recommended
178,Multistage Degree 2,frequentist,Restricted,Extra Risk,0.1,9.50E-03,7.08E-03,1.10E-02,0.246847272,48.61844451,-,-1.912393265,-5.52E-04,Viable - Recommended
179,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,24.12625256,16.12621745,47.94074453,0.187954021,162.1130762,-,-0.141807391,-0.141807391,Viable - Recommended
180,Multistage Degree 2,frequentist,Unrestricted,Extra Risk,0.1,49.44652551,31.70769571,96.88439848,NA,149.0232027,-,-8.82E-05,-8.82E-05,Questionable
181,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,268.1238999,183.7826626,461.8970344,0.670040067,112.2812617,-,-5.52E-04,-5.52E-04,Viable - Recommended
182,Multistage Degree 2,frequentist,Unrestricted,Extra Risk,0.1,75.23873734,32.45478234,142.532416,0.999558873,101.1926915,-,-2.87E-05,-5.52E-04,Viable - Recommended
183,Gamma,frequentist,Restricted,Extra Risk,0.1,9.644590266,5.760439402,16.65074048,0.99960607,89.07077406,-,6.73E-06,-4.94E-04,Viable - Recommended
184,Logistic,frequentist,Unrestricted,Extra Risk,0.1,19.20879247,14.74689775,25.22171882,<0.0001,114.6779039,-,-2.448732494,-2.448732494,Questionable
185,Weibull,frequentist,Unrestricted,Extra Risk,0.1,177.6971019,116.8915581,Infinity,0.999303735,35.4400475,-,2.10E-08,-8.73E-04,Viable - Recommended
186,Gamma,frequentist,Unrestricted,Extra Risk,0.1,3.334376784,0.397538714,Infinity,0.655757187,137.0708732,-,-0.333665368,-7.07E-02,Viable - Recommended
187,Multistage Degree 1,frequentist,Restricted,Extra Risk,0.1,1.231774615,0.918649514,1.703260208,0.449766515,112.254662,-,-8.73E-04,-8.73E-04,Viable - Recommended
188,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,3.213708095,1.869867724,8.464354538,0.608435539,94.15700412,-,0.410623879,-7.95E-02,Viable - Recommended
189,Log-Probit,frequentist,Restricted,Extra Risk,0.1,22.21356694,17.59814058,41.82623705,0.974534362,151.1770818,-,-2.28E-03,-2.28E-03,Viable - Recommended
190,Dichotomous Hill,frequentist,Unrestricted,Extra Risk,0.1,60.45722551,19.26474267,102.1027422,65535,151.5308237,-,2.43E-07,2.43E-07,Viable - Recommended
191,Weibull,frequentist,Restricted,Extra Risk,0.1,140.4829572,120.0747054,148.6949605,0.999987942,38.69254736,-,9.24E-06,-8.73E-04,Viable - Recommended
192,Multistage Degree 2,frequentist,Restricted,Extra Risk,0.1,15.82199585,12.75522541,27.34606691,0.838165694,123.1689611,-,-1.23E-03,-1.23E-03,Viable - Recommended
193,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,6.808079523,2.14E-02,Infinity,0.999820448,23.53869637,-,-7.97E-05,-3.53E-04,Questionable
194,Multistage Degree 2,frequentist,Restricted,Extra Risk,0.1,9.68018589,4.044394446,11.71084693,0.815248599,154.6371429,-,-0.195439869,6.91E-02,Viable - Recommended
195,Gamma,frequentist,Restricted,Extra Risk,0.1,108.9865252,72.04444787,471.5862505,0.882824998,58.8036443,-,-2.04E-02,-2.04E-02,Viable - Recommended
196,Multistage Degree 2,frequentist,Restricted,Extra Risk,0.1,524.8633372,216.3466758,Infinity,0.813104588,170.8907499,-,-0.18978566,0.126860336,Viable - Recommended
197,Multistage Degree 3,frequentist,Unrestricted,Extra Risk,0.1,7.60E-02,5.23E-02,0.10372421,0.854772213,171.8943218,-,-0.37675111,-9.65E-04,Viable - Recommended
198,Multistage Degree 3,frequentist,Unrestricted,Extra Risk,0.1,7.60E-02,5.23E-02,0.10372421,0.854772213,171.8943218,-,-0.37675111,-9.65E-04,Viable - Recommended
199,Multistage Degree 2,frequentist,Restricted,Extra Risk,0.1,2.61E-02,1.70E-02,3.39E-02,0.955575314,204.3252094,-,0.166483836,-9.72E-04,Viable - Recommended
200,Multistage Degree 2,frequentist,Unrestricted,Extra Risk,0.1,6.19E-02,5.26E-02,6.90E-02,0.656325746,177.5412671,-,0.182045485,0.303735959,Viable - Recommended
201,Multistage Degree 2,frequentist,Restricted,Extra Risk,0.1,2.61E-02,1.70E-02,3.39E-02,0.955575314,204.3252094,-,0.166483836,-9.72E-04,Viable - Recommended
202,Multistage Degree 2,frequentist,Unrestricted,Extra Risk,0.1,6.19E-02,5.26E-02,6.90E-02,0.656325746,177.5412671,-,0.182045485,0.303735959,Viable - Recommended
203,Probit,frequentist,Unrestricted,Extra Risk,0.1,9.00E-02,6.79E-02,0.119340801,0.927421174,80.78649957,-,5.47E-02,-6.50E-02,Viable - Recommended
204,Probit,frequentist,Unrestricted,Extra Risk,0.1,9.00E-02,6.79E-02,0.119340801,0.927421174,80.78649957,-,5.47E-02,-6.50E-02,Viable - Recommended
205,Multistage Degree 2,frequentist,Restricted,Extra Risk,0.1,1.586090565,1.167269778,3.992490353,0.803699496,72.96768862,-,-3.02E-04,-3.02E-04,Viable - Recommended
206,Multistage Degree 1,frequentist,Restricted,Extra Risk,0.1,208.4524193,141.0449962,365.5607343,0.717072794,125.2587525,-,-0.291532645,6.28E-02,Viable - Recommended
207,Multistage Degree 2,frequentist,Unrestricted,Extra Risk,0.1,6.31E-02,4.73E-02,8.81E-02,0.757608627,212.0844922,-,-9.14E-03,-9.14E-03,Viable - Recommended
208,Log-Logistic,frequentist,Restricted,Extra Risk,0.1,0.330301888,0.223821155,0.654971184,0.758402335,124.4419819,-,-1.52E-02,-1.52E-02,Viable - Recommended
209,Dichotomous Hill,frequentist,Unrestricted,Extra Risk,0.1,0.941601427,0.148514365,4.345835112,0.613839279,102.4420269,-,-7.98E-04,-1.05E-03,Viable - Recommended
