Study_Index,Dose,Number,Effect
75,37,48,21
75,118,49,45
76,0,35,0
76,17,49,2
76,34,46,2
76,114,49,38
77,0,34,1
77,17,50,4
77,34,49,6
77,114,48,31
78,0,35,0
78,17,50,1
78,34,50,3
78,114,49,8
79,0,31,0
79,18,45,10
79,35,45,23
80,0,32,7
80,18,47,26
80,35,48,37
81,0,20,4
81,678,49,32
81,1356,47,39
82,0,20,1
82,600,50,12
82,1200,48,24
83,0,20,3
83,44.6,50,23
83,94.4,50,29
84,0,60,5
84,25,60,47
84,50,60,55
84,90,60,59
84,125,60,47
84,315,60,53
85,0,50,8
85,14,50,22
85,69,50,48
85,369,50,48
86,0,51,0
86,394.7368421,54,52
86,789.4736842,52,52
87,0,20,0
87,45.85152838,47,41
87,91.70305677,49,44
88,0,6,0
88,25,11,6
88,50,16,12
88,125,19,18
89,0,3,0
89,10.2,1,1
89,10.71428571,1,0
89,20.4,1,0
89,21.42857143,2,0
89,40.71428571,2,0
89,42.85714286,2,2
89,85.71428571,1,0
89,132.8571429,1,1
89,145.7142857,1,1
89,148.2857143,2,1
89,149.1428571,1,1
89,150.8571429,1,1
90,0,15,5
90,103.6827195,35,15
90,207.3654391,33,15
91,0,50,0
91,19.28020566,50,7
91,31.15681234,48,11
92,0,22,5
92,2.9,18,5
92,5.8,19,11
93,0,20,0
93,450,50,6
93,1800,50,41
94,0,14,0
94,90,20,12
94,180,20,13
95,0,15,0
95,52.5,19,18
95,105,16,12
96,0,20,0
96,79,50,11
96,171,50,14
97,0,50,0
97,149,49,15
97,294,50,25
98,0,52,1
98,160.7142857,52,50
98,321.4285714,51,50
99,0,48,0
99,0.24,46,1
99,0.8,46,4
99,2.39,41,15
100,0,59,0
100,6,60,54
100,20,60,59
100,60,60,59
101,0,59,3
101,6,59,6
101,20,60,7
101,60,60,10
102,0,59,0
102,6,59,5
102,20,59,3
102,60,57,11
103,0,59,8
103,6,60,11
103,20,60,9
103,60,58,36
104,0,72,2
104,0.225,75,2
104,1.13,73,1
104,5.63,73,2
104,11.3,69,16
104,22.5,70,62
105,0,47,2
105,25,46,7
105,47,45,20
106,0,50,8
106,60,50,12
106,125,50,20
106,265,49,8
107,0,14,0
107,441,14,2
107,882,14,4
108,0,50,5
108,2.1,50,3
108,21,50,4
108,71,50,10
109,0,52,4
109,1.06,51,8
109,2.12,52,14
110,0,52,4
110,1.06,51,8
110,2.12,52,14
111,0,20,0
111,1.63,46,4
111,3.25,45,36
112,0,20,0
112,1.63,46,4
112,3.25,45,36
113,0,49,17
113,25,50,43
113,57,50,37
114,0,50,1
114,15.78947368,50,13
114,31.57894737,50,41
114,39.47368421,50,39
115,0,100,0
115,12,50,16
115,25,50,17
115,50,49,6
116,0,100,0
116,12,50,39
116,25,50,38
116,50,49,4
117,0,50,3
117,255,50,19
117,625,49,18
118,0,20,0
118,1.53,50,5
118,3.06,50,21
