"","ql.weight","log.weight","pro.weight","wei.weight","ms2.weight","llog.weight","lpro.weight","dh.weight"
"219",2,0,0,8,2,135,273,4580
"220",1276,1054,1096,312,531,287,190,253
"221",1,67,61,1334,79,1416,1051,990
"222",0,350,109,1272,12,1263,1237,758
"223",0,1908,2001,202,0,391,417,80
"224",3,1827,1850,383,40,369,381,147
"225",921,1083,1046,434,614,381,304,217
"226",115,758,624,928,230,913,963,467
"227",2047,244,339,555,690,577,437,111
"228",667,1218,1349,421,477,383,277,209
"229",208,549,888,756,993,736,721,149
"230",532,182,345,778,842,964,1082,274
"231",78,518,935,629,646,778,942,474
"232",142,1660,1740,428,117,381,371,162
"233",1079,1023,1083,406,562,402,268,177
"234",840,558,496,802,849,608,586,261
"235",861,1122,1165,326,568,326,276,355
"236",70,973,1132,554,656,674,635,307
"237",1311,894,976,329,733,320,274,163
"238",849,734,747,251,254,318,344,1503
"239",1409,1060,966,263,510,390,188,215
"240",360,1408,1530,371,746,261,190,134
"241",1495,1151,1160,195,512,224,113,150
"242",351,918,1224,405,1063,416,285,338
"243",1581,0,0,545,575,1022,721,556
"244",1039,1044,1062,396,529,364,332,233
"245",1332,1046,1089,299,507,259,202,266
"246",1721,815,875,279,624,248,164,274
"247",1065,1021,1071,395,543,377,334,193
"248",1021,641,884,577,932,512,278,155
"249",1512,831,907,221,546,208,109,666
"250",40,0,0,10,10,3342,88,1510
"251",1163,2,0,312,326,1745,912,540
"252",2,1676,1899,385,100,407,311,220
"253",0,1732,1856,678,21,350,268,94
"254",187,1340,1674,360,410,381,302,347
"255",1683,156,217,540,609,853,335,605
