"Study_Index","Dose","Number","Effect"
79,0,60,5
79,25,60,47
79,50,60,55
79,90,60,59
79,125,60,47
79,315,60,53
80,0,50,8
80,14,50,22
80,69,50,48
80,369,50,48
81,0,51,0
81,394.7368421,54,52
81,789.4736842,52,52
82,0,20,0
82,45.85152838,47,41
82,91.70305677,49,44
83,0,6,0
83,25,11,6
83,50,16,12
83,125,19,18
84,0,3,0
84,10.2,1,1
84,10.71428571,1,0
84,20.4,1,0
84,21.42857143,2,0
84,40.71428571,2,0
84,42.85714286,2,2
84,85.71428571,1,0
84,132.8571429,1,1
84,145.7142857,1,1
84,148.2857143,2,1
84,149.1428571,1,1
84,150.8571429,1,1
85,0,15,5
85,103.6827195,35,15
85,207.3654391,33,15
86,0,50,0
86,19.28020566,50,7
86,31.15681234,48,11
87,0,22,5
87,2.9,18,5
87,5.8,19,11
88,0,20,0
88,450,50,6
88,1800,50,41
89,0,14,0
89,90,20,12
89,180,20,13
90,0,15,0
90,52.5,19,18
90,105,16,12
91,0,20,0
91,79,50,11
91,171,50,14
92,0,50,0
92,149,49,15
92,294,50,25
93,0,52,1
93,160.7142857,52,50
93,321.4285714,51,50
94,0,48,0
94,0.24,46,1
94,0.8,46,4
94,2.39,41,15
95,0,59,0
95,6,60,54
95,20,60,59
95,60,60,59
96,0,59,3
96,6,59,6
96,20,60,7
96,60,60,10
97,0,59,0
97,6,59,5
97,20,59,3
97,60,57,11
98,0,59,8
98,6,60,11
98,20,60,9
98,60,58,36
99,0,72,2
99,0.225,75,2
99,1.13,73,1
99,5.63,73,2
99,11.3,69,16
99,22.5,70,62
100,0,47,2
100,25,46,7
100,47,45,20
101,0,50,8
101,60,50,12
101,125,50,20
101,265,49,8
102,0,14,0
102,441,14,2
102,882,14,4
103,0,50,5
103,2.1,50,3
103,21,50,4
103,71,50,10
104,0,52,4
104,1.06,51,8
104,2.12,52,14
105,0,20,0
105,1.63,46,4
105,3.25,45,36
106,0,49,17
106,25,50,43
106,57,50,37
107,0,50,1
107,15.78947368,50,13
107,31.57894737,50,41
107,39.47368421,50,39
108,0,100,0
108,12,50,16
108,25,50,17
108,50,49,6
109,0,100,0
109,12,50,39
109,25,50,38
109,50,49,4
110,0,50,3
110,255,50,19
110,625,49,18
111,0,20,0
111,1.53,50,5
111,3.06,50,21
112,0,50,17
112,214,49,22
112,428,50,40
113,0,49,13
113,1.4,48,14
113,4.3,48,15
113,13,49,26
114,0,18,3
114,55.5,17,8
114,111,18,9
115,0,10,0
115,15.1,9,0
115,31.9,10,1
115,76.1,12,7
116,0,10,0
116,27.1,9,0
116,55.7,10,2
116,108.6,12,9
117,0,40,0
117,27.14285714,50,45
117,29.28571429,50,33
118,0,13,0
118,7.8,50,45
118,8.4,34,33
119,0,13,0
119,7.8,29,5
119,8.4,23,8
120,0,13,0
120,7.8,42,11
120,8.4,23,4
121,0,60,1
121,33.57142857,50,9
121,67.85714286,50,7
122,0,40,0
122,4.46,48,9
122,8.23,27,7
123,0,100,6
123,0.02,98,6
123,1.36,98,36
124,0,200,5
124,0.02,100,4
124,0.04,100,5
124,0.14,100,7
124,0.43,100,20
124,1.39,100,36
125,0,80,4
125,0.58,47,18
125,1.46,48,36
125,3.62,48,45
126,0,50,13
126,68.8,50,23
126,137.5,50,27
127,0,50,5
127,27,50,22
127,56,50,23
128,0,50,2
128,8.8,50,5
128,17.7,50,25
129,0,36,0
129,276.3157895,41,18
129,544.7368421,45,18
130,0,50,9
130,672,48,14
130,1325,50,19
131,0,49,2
131,0.02556213,49,4
131,0.127810651,50,4
131,0.639053254,49,5
131,3.195266272,49,17
132,0,40,0
132,4,30,14
132,8,30,26
132,16,57,49
133,0,52,0
133,5.99112426,56,36
133,11.98224852,55,48
134,0,52,0
134,0.73,56,36
134,1.46,55,48
135,0,54,0
135,0.065,54,0
135,0.325,55,0
135,1.623,55,1
135,8.117,55,17
136,0,60,1
136,2,45,25
136,5.1,74,70
136,9.6,59,58
137,0,50,0
137,281,50,42
137,563,50,42
138,0,49,8
138,3.19,50,5
138,15.2,50,27
138,74.9,50,50
139,0,31,11
139,0.71,43,13
139,3.9,35,18
139,34,43,34
140,0,65,1
140,0.13,62,5
140,0.58,64,9
140,2.9,64,12
140,8.3,31,6
141,0,95,6
141,4,49,13
141,15,49,37
142,0,55,9
142,17.85714286,55,15
142,35.71428571,55,22
143,0,23,0
143,0.36,27,9
143,3,23,1
144,0,50,0
144,380,48,21
144,860,37,35
145,0,50,5
145,66,50,35
145,278,50,41
145,964,50,46
146,0,50,6
146,35.71,49,10
146,71.43,50,19
147,0,53,0
147,3.947368421,54,26
147,7.894736842,54,29
148,0,50,0
148,2.62,50,0
148,9.56,49,2
148,42.13,49,30
149,0,48,3
149,102.9490617,49,10
149,205.8981233,49,34
150,0,48,0
150,102.9490617,49,1
150,205.8981233,49,3
151,0,20,0
151,98.68421053,20,0
151,197.3684211,20,0
151,394.7368421,21,1
151,789.4736842,21,7
151,1578.947368,21,20
151,3157.894737,20,17
152,0,104,1
152,7.4,80,2
152,40.2,80,8
152,102.6,80,41
153,0,104,0
153,7.6,80,1
153,41.2,80,8
153,102.7,80,41
154,0,15,2
154,687.7729258,49,8
154,1375.545852,46,22
155,0,15,0
155,98.25327511,33,31
155,196.5065502,32,23
156,0,22,0
156,38.72282609,20,0
156,116.1684783,21,2
156,387.2282609,20,6
157,0,193,0
157,7.763157895,93,0
157,15.52631579,100,0
157,31.05263158,90,7
158,0,180,0
158,7.744565217,93,0
158,15.48913043,90,0
