"Index","BMDL.10","BMD.10","BMDU.10","BW","HED.U","HED","HED.L","CSF.U","CSF","CSF.L","RSD.04.U","RSD.04","RSD.04.L","RSD.05.U","RSD.05","RSD.05.L","RSD.06.U","RSD.06","RSD.06.L"
215,0.0150827269205353,0.0446773059132241,0.210663751545261,0.452,0.0597172654724963,0.01266476324591,0.00427553008505718,1.67455758747119,7.89592336298071,23.3889127220731,5.97172654724963e-05,1.266476324591e-05,4.27553008505718e-06,5.97172654724963e-06,1.266476324591e-06,4.27553008505718e-07,5.97172654724963e-07,1.266476324591e-07,4.27553008505718e-08
216,2.3065998412861,5.21880040679749,58.5696999821045,0.38,15.8980694025238,1.41658316656115,0.626099918077458,0.00629007192433849,0.0705923960982514,0.159718915643794,0.0158980694025238,0.00141658316656115,0.000626099918077458,0.00158980694025238,0.000141658316656115,6.26099918077458e-05,0.000158980694025238,1.41658316656115e-05,6.26099918077458e-06
217,0.0371377808723224,0.105981200789479,0.475079439886522,0.462,0.135410461943265,0.0302075024750243,0.0105852698333359,0.738495375947382,3.31043587872518,9.44709030326961,0.000135410461943265,3.02075024750243e-05,1.05852698333359e-05,1.35410461943265e-05,3.02075024750243e-06,1.05852698333359e-06,1.35410461943265e-06,3.02075024750243e-07,1.05852698333359e-07
218,0.102496999344389,0.211487083655686,0.365480139050054,70,0.365480139050054,0.211487083655686,0.102496999344389,0.2736126790909,0.472842115326561,0.975638317605776,0.000365480139050054,0.000211487083655686,0.000102496999344389,3.65480139050054e-05,2.11487083655686e-05,1.02496999344389e-05,3.65480139050054e-06,2.11487083655686e-06,1.02496999344389e-06
219,0.154734590395415,0.2725550346924,0.38887705301491,70,0.38887705301491,0.2725550346924,0.154734590395415,0.257150683550788,0.366898377470289,0.646267907805591,0.00038887705301491,0.0002725550346924,0.000154734590395415,3.8887705301491e-05,2.725550346924e-05,1.54734590395415e-05,3.8887705301491e-06,2.725550346924e-06,1.54734590395415e-06
220,0.169338754067855,0.281950977568886,0.734026933997338,70,0.734026933997338,0.281950977568886,0.169338754067855,0.136234782905613,0.354671584621721,0.590532276858075,0.000734026933997338,0.000281950977568886,0.000169338754067855,7.34026933997338e-05,2.81950977568886e-05,1.69338754067855e-05,7.34026933997338e-06,2.81950977568886e-06,1.69338754067855e-06
221,0.40809578463258,0.64729300016394,0.938979958314641,70,0.938979958314641,0.64729300016394,0.40809578463258,0.106498545697917,0.154489543336129,0.245040511972043,0.000938979958314641,0.00064729300016394,0.00040809578463258,9.38979958314641e-05,6.4729300016394e-05,4.0809578463258e-05,9.38979958314641e-06,6.4729300016394e-06,4.0809578463258e-06
222,0.56002672713269,0.95716478729527,1.14422230457131,70,1.14422230457131,0.95716478729527,0.56002672713269,0.0873956045083963,0.1044752181937,0.178562906295553,0.00114422230457131,0.00095716478729527,0.00056002672713269,0.000114422230457131,9.5716478729527e-05,5.6002672713269e-05,1.14422230457131e-05,9.5716478729527e-06,5.6002672713269e-06
223,370.261542643558,412.023767018888,425.171546434499,0.38,115.407911518402,111.83909846827,100.503224428867,0.000866491722138607,0.000894141685417568,0.000994992952398033,0.115407911518402,0.11183909846827,0.100503224428867,0.0115407911518402,0.011183909846827,0.0100503224428867,0.00115407911518402,0.0011183909846827,0.00100503224428867
224,1056.42155456866,1275.88799221965,1312.19348794338,0.3045,336.992466575388,327.668629300935,271.306105912378,0.000296742538538704,0.000305186371406214,0.000368587355097332,0.336992466575388,0.327668629300935,0.271306105912378,0.0336992466575388,0.0327668629300935,0.0271306105912378,0.00336992466575388,0.00327668629300935,0.00271306105912378
225,17.4331122137575,29.5940202978475,52.5713012393176,0.38,14.2698732610723,8.03295541446572,4.73201720276841,0.00700777071880494,0.0124487184156307,0.0211326366145703,0.0142698732610723,0.00803295541446572,0.00473201720276841,0.00142698732610723,0.000803295541446572,0.000473201720276841,0.000142698732610723,8.03295541446572e-05,4.73201720276841e-05
226,6.60175670394774,11.0706960148567,12.8849212155739,70,12.8849212155739,11.0706960148567,6.60175670394774,0.00776100981348111,0.00903285573606226,0.0151474833872932,0.0128849212155739,0.0110706960148567,0.00660175670394774,0.00128849212155739,0.00110706960148567,0.000660175670394774,0.000128849212155739,0.000110706960148567,6.60175670394774e-05
227,0.0127461959743223,0.0234864545568013,0.064053078415847,70,0.064053078415847,0.0234864545568013,0.0127461959743223,1.56120521406914,4.25777333731462,7.84547799213615,6.4053078415847e-05,2.34864545568013e-05,1.27461959743223e-05,6.4053078415847e-06,2.34864545568013e-06,1.27461959743223e-06,6.4053078415847e-07,2.34864545568013e-07,1.27461959743223e-07
228,18.716811947018,24.1702259302181,57.2501221189778,0.284,14.4487904445749,6.10008357253766,4.72375051097633,0.00692099455546794,0.0163932180290441,0.0211696193030591,0.0144487904445749,0.00610008357253766,0.00472375051097633,0.00144487904445749,0.000610008357253766,0.000472375051097633,0.000144487904445749,6.10008357253766e-05,4.72375051097633e-05
229,3.2599953990697,6.55662330331843,9.31193666694334,0.284,2.35014732814372,1.65476111888084,0.822757902132443,0.0425505238767246,0.0604316833765304,0.121542436409079,0.00235014732814372,0.00165476111888084,0.000822757902132443,0.000235014732814372,0.000165476111888084,8.22757902132443e-05,2.35014732814372e-05,1.65476111888084e-05,8.22757902132443e-06
230,2.51835110342781,5.60531172345213,8.26060697080293,0.284,2.08481265451416,1.41466902551517,0.635581654894504,0.0479659406246763,0.0706879122935373,0.157336196269854,0.00208481265451416,0.00141466902551517,0.000635581654894504,0.000208481265451416,0.000141466902551517,6.35581654894504e-05,2.08481265451416e-05,1.41466902551517e-05,6.35581654894504e-06
231,5.92650971294247,9.21859140574006,11.9375040180707,0.284,3.01278822829267,2.32658884358159,1.49573300004643,0.0331918450360746,0.0429813803482606,0.0668568521232704,0.00301278822829267,0.00232658884358159,0.00149573300004643,0.000301278822829267,0.000232658884358159,0.000149573300004643,3.01278822829267e-05,2.32658884358159e-05,1.49573300004643e-05
232,21.6697507374057,23.1050011994235,30.956435145826,0.284,7.81278760250615,5.83124206893975,5.46901344140814,0.0127995288093999,0.0171490051035014,0.0182848334660981,0.00781278760250615,0.00583124206893975,0.00546901344140814,0.000781278760250615,0.000583124206893975,0.000546901344140814,7.81278760250615e-05,5.83124206893975e-05,5.46901344140814e-05
