"Index","Species","Strain","Sex","Effect.Sex","Dose.Converted","Sex.result","bw.a"
228,"Rat","Donryu","F","Both","Dose","F",0.284
229,"Rat","Donryu","F","Both","Dose","F",0.284
230,"Rat","Donryu","F","Both","Dose","F",0.284
231,"Rat","Donryu","F","Both","Dose","F",0.284
232,"Rat","Donryu","F","Both","Dose","F",0.284
233,"Rat","Donryu","F","Both","Dose","F",0.284
234,"Rat","Sprague-Dawley","M/F","F","HEq","F",70
235,"Rat","Fischer 344","M","Both","Dose","M",0.38
236,"Rat","Fischer 344","M","Both","Dose","M",0.38
237,"Rat","Fischer 344","M","Both","Dose","M",0.38
238,"Rat","Fischer 344","M","Both","Dose","M",0.38
239,"Mouse","CD-1","M/F","M","HEq","M",70
240,"Mouse","CD-1","M/F","F","HEq","F",70
241,"Mouse","CD-1","M/F","Both","HEq","Both",70
242,"Mouse","CDF1","M/F","F","Dose","F",0.0353
243,"Mouse","CDF1","M/F","Both","Dose","Both",0.0363
244,"Rat","Wistar","M/F","M","Dose","M",0.462
245,"Rat","Wistar","M/F","F","Dose","F",0.297
246,"Rat","Wistar","M/F","M","Dose","M",0.462
247,"Rat","Wistar","M/F","F","Dose","F",0.297
248,"Rat","Wistar","M/F","F","Dose","F",0.297
249,"Rat","Wistar","M/F","F","Dose","F",0.297
250,"Rat","Wistar","M/F","M","Dose","M",0.462
251,"Rat","Wistar","M/F","F","Dose","F",0.297
252,"Rat","Fischer 344","M","Both","Dose","M",0.38
253,"Rat","Fischer 344","M","Both","Dose","M",0.38
254,"Rat","Fischer 344","M","Both","Dose","M",0.38
255,"Mouse","B6C3F1","M/F","F","Dose","F",0.0353
