,ql-ppp,ql-weight,ql-ext10,ql-ext10L,ql-ext10U,ql-ext1,ql-ext1L,ql-ext1U,log-ppp,log-weight,log-ext10,log-ext10L,log-ext10U,log-ext1,log-ext1L,log-ext1U,pro-ppp,pro-weight,pro-ext10,pro-ext10L,pro-ext10U,pro-ext1,pro-ext1L,pro-ext1U,wei-ppp,wei-weight,wei-ext10,wei-ext10L,wei-ext10U,wei-ext1,wei-ext1L,wei-ext1U,ms2-ppp,ms2-weight,ms2-ext10,ms2-ext10L,ms2-ext10U,ms2-ext1,ms2-ext1L,ms2-ext1U,llog-ppp,llog-weight,llog-ext10,llog-ext10L,llog-ext10U,llog-ext1,llog-ext1L,llog-ext1U,lpro-ppp,lpro-weight,lpro-ext10,lpro-ext10L,lpro-ext10U,lpro-ext1,lpro-ext1L,lpro-ext1U,dh-ppp,dh-weight,dh-ext10,dh-ext10L,dh-ext10U,dh-ext1,dh-ext1L,dh-ext1U,MA-ext10,MA-ext10L,MA-ext10U,MA-ext1,MA-ext1L,MA-ext1U
211,0.4688,0.31846494,216.3335568,134.6531765,443.7124443,20.63605032,12.84456173,42.32571433,0.570533333,0.167363459,353.0253893,267.2822762,561.5194537,54.03937866,37.45384635,83.82831246,0.565533333,0.180145044,332.3640327,248.8060761,562.1709996,48.05932358,33.62235481,76.90434894,0.479666667,0.056099224,509.5447533,234.6806255,576.7581467,350.4108555,33.66509412,463.7041266,0.481266667,0.131439911,254.5015805,152.7084536,423.2531129,30.67387137,15.16074229,92.51550696,0.4778,0.048125304,532.2670981,260.9097115,684.126073,390.6822354,41.13604836,494.3922916,0.469533333,0.034044469,552.0586534,454.1237777,749.9574284,489.0037006,251.2989519,631.6625968,0.491,0.064317648,167.5557723,167.5557723,167.5557723,8.075527827,8.075527827,8.075527827,304.3862668,141.9168143,571.1090888,42.65006463,14.42629124,440.5021693
212,0.473666667,0.211625921,196.6798655,105.3651779,698.0713805,18.7612854,10.05078059,66.58900424,0.586466667,0.193128551,285.8664185,196.1288461,767.2112804,36.33907433,23.46545505,87.81265276,0.576,0.196120283,271.1884539,182.7328644,699.8805882,33.13585662,21.45284872,78.44705822,0.489866667,0.0933614,508.6615922,282.1144542,606.9378918,377.4162357,62.22790757,472.2057635,0.518333333,0.109321572,234.0762967,123.544515,441.4500706,30.91275612,12.3270937,96.87840718,0.481866667,0.080589866,538.1864795,329.1956016,851.6193949,406.5049215,84.0038819,558.2016824,0.458533333,0.064173053,569.4766437,450.0650317,1239.386168,508.0087455,276.6509721,889.9537289,0.509333333,0.051679354,292.1328553,292.1328553,292.1328553,18.80466566,18.80466566,18.80466566,294.9769583,129.8296391,734.5088512,38.21785704,12.65944573,505.0570238
213,0.533133333,0.207329345,1.37E-05,8.91E-06,2.50E-05,1.31E-06,8.50E-07,2.38E-06,0.557133333,0.197822402,2.05E-05,1.54E-05,3.11E-05,2.26E-06,1.69E-06,3.39E-06,0.549133333,0.19677705,1.98E-05,1.49E-05,3.10E-05,2.14E-06,1.60E-06,3.32E-06,0.519666667,0.088150969,5.89E-05,2.86E-05,6.51E-05,4.43E-05,7.50E-06,5.46E-05,0.566466667,0.096744916,2.01E-05,1.08E-05,3.37E-05,2.35E-06,1.06E-06,8.09E-06,0.5224,0.086420272,5.76E-05,2.47E-05,6.52E-05,4.24E-05,5.84E-06,5.41E-05,0.501333333,0.0823082,6.33E-05,4.00E-05,6.81E-05,5.56E-05,2.18E-05,6.28E-05,0.515866667,0.044446846,3.00E-05,3.00E-05,3.00E-05,7.94E-06,7.94E-06,7.94E-06,2.14E-05,1.09E-05,6.44E-05,2.37E-06,1.06E-06,5.47E-05
214,0.372066667,0.379682478,208.2686416,151.2580364,327.6866099,19.86673834,14.42849873,31.25801411,0.589933333,0.076802695,423.9755873,339.9240018,538.5317873,60.1660304,42.73646284,96.26096443,0.604333333,0.09597593,398.2884771,316.0168584,507.852666,55.83899441,39.01876782,95.22603993,0.5254,0.089147796,404.8265916,211.3010881,954.2843054,101.6265025,24.3581556,781.1955224,0.481,0.164549481,277.9528529,177.2414365,449.9972629,31.08720866,17.29379688,101.3076905,0.489533333,0.088894744,439.3607623,195.2131106,1018.505914,131.7497592,23.67393294,806.9373987,0.521466667,0.026651938,891.3176595,341.1853792,1101.484441,691.8602974,131.4273998,962.8125867,0.389133333,0.078294939,338.5633414,338.5633414,338.5633414,8.187327877,8.187327877,8.187327877,287.9250995,157.436176,862.7534108,34.75486448,15.52990389,587.4633289
215,0.314533333,0.206482551,454.1720472,292.434455,967.5284918,43.32345549,27.89531229,92.29250853,0.579,0.205480753,694.4664665,558.7927188,872.02527,148.5066102,88.96705231,292.0496927,0.566066667,0.226691615,659.2437108,525.3301707,839.752883,139.4487386,81.40122159,296.9708841,0.435333333,0.066394455,915.5074389,533.0036491,1040.500287,618.5203616,109.8421695,841.5122941,0.300933333,0.158109995,530.0410251,347.6314862,787.5734503,80.78603878,35.84670838,186.3718206,0.4576,0.058395151,946.9583603,546.6968423,1243.781397,670.1235838,118.1393177,919.0678838,0.451733333,0.039236752,999.4096179,726.0191675,1451.996775,888.0490818,367.2190135,1227.840238,0.444933333,0.039208728,588.9947767,588.9947767,588.9947767,117.8123366,117.8123366,117.8123366,649.6379271,348.8220661,1028.794785,128.0148882,34.36117426,812.6508089
216,0.338666667,0.21721807,1109.294171,485.8097651,8855.508376,105.8155317,46.34137627,844.72663,0.577333333,0.167731599,860.6085104,602.2469288,4074.660214,222.7843855,123.3898776,662.6297105,0.554266667,0.16736474,841.0703888,575.6564255,4559.660873,207.8636002,111.57919,675.2795843,0.366666667,0.086154419,775.5809968,656.0743501,1460.903658,577.6368996,193.9316246,750.068407,0.273133333,0.10552172,731.8147179,454.5759542,1541.334247,131.3532654,53.26049447,317.6488814,0.413866667,0.095956465,843.35114,704.4041858,1650.032214,625.2355825,302.2049107,731.5278415,0.4224,0.09191904,884.9069039,722.0202184,2360.250793,774.0818521,596.7384863,1463.500681,0.4416,0.068133947,875.6574599,875.6574599,875.6574599,287.4818499,287.4818499,287.4818499,858.682804,549.6841291,4123.347505,238.3188372,59.12837189,896.5577545
217,0.425133333,0.027055619,50.57773353,27.24935725,180.6084545,4.824608208,2.599315222,17.22823407,0.6036,0.004419998,122.2907377,71.78565724,573.3993923,16.69079153,8.92665668,67.41323822,0.6126,0.005085142,109.7865019,66.63621145,452.7496845,14.83202201,8.081777574,52.58464569,0.561666667,0.004659908,103.3141823,40.19611173,313.2841672,24.42445681,4.843418742,217.1196869,0.5368,0.007209743,55.50771116,29.47372189,117.452358,5.992056507,2.891871047,21.69445541,0.509666667,0.00354291,262.5428902,45.25786279,563.6494788,185.8907566,6.715818133,243.6397113,0.512666667,0.001424207,296.0596112,169.2088716,814.7616079,260.7129046,79.77182148,500.5846647,0.4144,0.946602473,75.18285281,75.18285281,75.18285281,55.28635756,55.28635756,55.28635756,75.10088003,52.85748976,95.45591952,58.74198506,23.08512181,76.80434103
218,0.288266667,0.181095112,629.1395438,318.2987478,2046.925471,60.01359878,30.36250627,195.2561481,0.605733333,0.223645848,417.0500206,347.9280691,657.9649417,182.7027157,107.2400326,273.9575671,0.5716,0.250648303,413.5749325,334.2303541,688.9222528,168.3064422,97.45026116,259.0629408,0.3534,0.065553959,406.2539226,345.4514477,575.5883063,287.189558,105.1895371,361.2115134,0.221466667,0.126613268,416.1137201,286.6515644,725.7138939,84.05821181,39.05306995,155.8255623,0.412733333,0.058014624,433.7335727,366.3560704,754.0393981,311.2341457,120.4895035,387.8607179,0.3938,0.032909777,426.3962139,385.1400665,794.419479,371.4072681,230.8902374,577.7071378,0.412333333,0.06151911,410.6310803,410.6310803,410.6310803,215.031362,215.031362,215.031362,427.6262028,326.9399225,1007.434567,156.545581,41.72567948,354.0681733
219,0.290533333,0.091300829,160.5369936,112.4851703,251.1103462,15.31361813,10.7299564,23.95340702,0.5702,0.012380112,258.4342355,213.8004043,322.7722532,54.67490534,37.20142712,85.98653585,0.584,0.021673137,242.5787755,199.5500818,302.0417067,51.36999692,33.99123877,84.68885052,0.447733333,0.042993172,208.498784,144.4535296,307.2682522,50.63442931,18.81282524,126.8387798,0.3334,0.04767105,187.0524095,131.5708923,253.268635,26.63408196,13.49106336,61.878433,0.4544,0.048554169,209.3438977,144.8891463,335.764756,52.54191617,19.0722521,157.7041092,0.522,0.045025825,218.7681974,170.5753258,383.5922329,92.24672161,64.86648898,339.0719111,0.3736,0.690401707,159.9764186,159.9764186,159.9764186,125.4826151,125.4826151,125.4826151,166.4318148,125.5897898,254.47755,109.1313398,14.96422261,148.8057419
220,0.000666667,2.69E-11,53.41620287,41.95281485,69.03028714,5.095369698,4.001877522,6.584796643,0.586,0.200888872,196.7865398,166.0108948,226.4629582,85.79370111,51.73229252,126.0088006,0.574133333,0.336942845,191.3522652,162.0695253,218.5262744,99.92614954,61.01668568,138.5434418,0.4358,0.095508674,194.7815776,161.6935126,238.8671559,109.3911348,77.46984544,157.4867274,6.67E-05,3.43E-05,109.1888936,91.97098119,126.236046,29.49493037,16.94047306,36.84821941,0.413933333,0.129795938,191.781032,164.4674144,222.6359502,122.9601667,93.51743495,156.2505754,0.4078,0.152730856,190.2406368,164.6464263,222.5230632,136.1930893,108.3939437,171.6799858,0.335533333,0.084098476,191.867993,191.867993,191.867993,174.5499953,174.5499953,174.5499953,192.5011521,163.9901603,223.1265002,111.3436565,62.59697795,158.8307238
