"Index","BMDL.10","HED","CSF","BW","RSD.04","RSD.05","RSD.06"
1,0.900674777745037,0.252297419506708,0.396357601260925,0.431,0.000252297419506708,2.52297419506708e-05,2.52297419506708e-06
2,0.611889733022854,0.0916942985412311,1.09058034786137,0.0353,9.16942985412311e-05,9.16942985412311e-06,9.16942985412311e-07
3,7.49715953560097,1.89213372915298,0.0528503870837742,0.284,0.00189213372915298,0.000189213372915298,1.89213372915298e-05
4,32.5627196282296,4.94735834135739,0.0202128071387211,0.0373,0.00494735834135739,0.000494735834135739,4.94735834135739e-05
5,0.438302697429256,0.0665927333749539,1.50166534593114,0.0373,6.65927333749539e-05,6.65927333749539e-06,6.65927333749539e-07
6,9.82025993163394,1.47160803217808,0.0679528772699027,0.0353,0.00147160803217808,0.000147160803217808,1.47160803217808e-05
7,2.70335141091797,0.410728842833833,0.243469631472793,0.0373,0.000410728842833833,4.10728842833833e-05,4.10728842833833e-06
8,8.59187846088893,1.28752980497108,0.0776681049354395,0.0353,0.00128752980497108,0.000128752980497108,1.28752980497108e-05
9,1.9129710943239,0.535862314138731,0.186615101233095,0.431,0.000535862314138731,5.35862314138731e-05,5.35862314138731e-06
10,6.52472914478487,0.984610888443666,0.101562963779596,0.0363,0.000984610888443666,9.84610888443666e-05,9.84610888443666e-06
11,0.0919960168868855,0.0249712575217277,4.00460408984166,0.38,2.49712575217277e-05,2.49712575217277e-06,2.49712575217277e-07
12,0.010321113075005,0.00156811978381104,63.7706385904831,0.0373,1.56811978381104e-06,1.56811978381104e-07,1.56811978381104e-08
13,0.399670643100277,0.117504138171327,0.851033857668865,0.523,0.000117504138171327,1.17504138171327e-05,1.17504138171327e-06
14,0.807429725658492,0.212843013441157,0.469829844932382,0.338,0.000212843013441157,2.12843013441157e-05,2.12843013441157e-06
15,0.0972732539959137,0.026403702656986,3.78734760420208,0.38,2.6403702656986e-05,2.6403702656986e-06,2.6403702656986e-07
16,0.0959395296687528,0.0271961660252899,3.67698887802822,0.452,2.71961660252899e-05,2.71961660252899e-06,2.71961660252899e-07
17,5.88940598823733,5.88940598823733,0.0169796411046761,70,0.00588940598823733,0.000588940598823733,5.88940598823733e-05
18,7.43692555370082,7.43692555370082,0.0134464167051178,70,0.00743692555370082,0.000743692555370082,7.43692555370082e-05
19,33.2628511522641,9.42908544095264,0.0106054824326522,0.452,0.00942908544095264,0.000942908544095264,9.42908544095264e-05
20,0.00254762254788158,0.000381772155780068,261.936336859538,0.0353,3.81772155780068e-07,3.81772155780068e-08,3.81772155780068e-09
21,0.000569478974857185,0.000121491301661299,823.104194560252,0.145,1.21491301661299e-07,1.21491301661299e-08,1.21491301661299e-09
22,0.846596674505809,0.216068352517039,0.462816506142953,0.297,0.000216068352517039,2.16068352517039e-05,2.16068352517039e-06
23,1.73467402662743,0.5099983699726,0.196079058067132,0.523,0.0005099983699726,5.099983699726e-05,5.099983699726e-06
24,7.4285486202482,7.4285486202482,0.0134615797933162,70,0.0074285486202482,0.00074285486202482,7.4285486202482e-05
25,1.03371496868643,1.03371496868643,0.0967384656595161,70,0.00103371496868643,0.000103371496868643,1.03371496868643e-05
26,2.31395513355946,0.35156661858236,0.284441112194426,0.0373,0.00035156661858236,3.5156661858236e-05,3.5156661858236e-06
27,0.675707359360158,0.675707359360158,0.147993060331165,70,0.000675707359360158,6.75707359360158e-05,6.75707359360158e-06
28,18.8109888893885,18.8109888893885,0.00531604162800878,70,0.0188109888893885,0.00188109888893885,0.000188109888893885
29,0.0885558661369986,0.0223497366484598,4.47432565192625,0.284,2.23497366484598e-05,2.23497366484598e-06,2.23497366484598e-07
30,0.996132923774727,0.149274787220425,0.669905493499957,0.0353,0.000149274787220425,1.49274787220425e-05,1.49274787220425e-06
31,7.59329424052521,2.06111212566462,0.0485174963335652,0.38,0.00206111212566462,0.000206111212566462,2.06111212566462e-05
32,0.422729487969859,0.120489312812003,0.829949127156429,0.462,0.000120489312812003,1.20489312812003e-05,1.20489312812003e-06
33,0.645917441936869,0.645917441936869,0.154818547243649,70,0.000645917441936869,6.45917441936869e-05,6.45917441936869e-06
34,0.125147068818026,0.125147068818026,0.799059865680179,70,0.000125147068818026,1.25147068818026e-05,1.25147068818026e-06
35,3.48138905280228,3.48138905280228,0.0287241668435497,70,0.00348138905280228,0.000348138905280228,3.48138905280228e-05
36,2.27630294413552,2.27630294413552,0.0439308837418287,70,0.00227630294413552,0.000227630294413552,2.27630294413552e-05
