Dataset,X1.,X2.,X3.,X4.,X5.,X6.,X7.,X8.,X9.,X10.,X11.,X12.,X13.,X14.,X15.,X16.,X17.,X18.,X19.,X20.,X21.,X22.,X23.,X24.,X25.,X26.,X27.,X28.,X29.,X30.,X31.,X32.,X33.,X34.,X35.,X36.,X37.,X38.,X39.,X40.,X41.,X42.,X43.,X44.,X45.,X46.,X47.,X48.,X49.,X50.,X51.,X52.,X53.,X54.,X55.,X56.,X57.,X58.,X59.,X60.,X61.,X62.,X63.,X64.,X65.,X66.,X67.,X68.,X69.,X70.,X71.,X72.,X73.,X74.,X75.,X76.,X77.,X78.,X79.,X80.,X81.,X82.,X83.,X84.,X85.,X86.,X87.,X88.,X89.,X90.,X91.,X92.,X93.,X94.,X95.,X96.,X97.,X98.,X99.
1,-5.52225462673829,-5.40308446837504,-5.30168891510002,-5.16842561764957,-5.11024844529766,-5.06034746153346,-5.02060937964223,-4.93609503070035,-4.86209085332303,-4.82544517836501,-4.77276816775511,-4.72607162794575,-4.64616532666386,-4.58325906969765,-4.49079803932104,-4.42395574441686,-4.36564188878934,-4.28928919863022,-4.19755577492702,-4.15068620252178,-4.10069389409087,-4.06289304527232,-4.0333904005268,-4.0088790798817,-3.98709969184502,-3.96043874041821,-3.9320115141457,-3.90588209859218,-3.88903589107258,-3.86277220023597,-3.84546535538636,-3.82860618344047,-3.81203113772999,-3.80086502832244,-3.78437032290651,-3.76691706582841,-3.75069822381624,-3.73634135105888,-3.72186361851496,-3.70907617842796,-3.69015696929653,-3.67555361243777,-3.66147078828087,-3.64510775278401,-3.62862334196298,-3.61105642443241,-3.59477368093743,-3.57874121779611,-3.5656949036337,-3.54755842028729,-3.53301954199645,-3.5215825126165,-3.51035157060902,-3.49213181182415,-3.47832266192865,-3.45522950890671,-3.43856805644145,-3.42496073252535,-3.41212564352665,-3.39542822512833,-3.38231937197141,-3.36591845759543,-3.34139103440829,-3.31828072595278,-3.30707802178604,-3.29388976299126,-3.27788582397646,-3.26063817343445,-3.23172113833556,-3.20988264607681,-3.19244548200996,-3.17904109403695,-3.1565028356214,-3.1362505158681,-3.10791899502344,-3.08269693502253,-3.06267054264865,-3.04325406613252,-3.0173856833674,-2.97951299444992,-2.95043928475254,-2.92523358486476,-2.86833676224731,-2.83176545679736,-2.78884614401275,-2.73524625803213,-2.6886474647604,-2.63307665599644,-2.55707702236116,-2.42558981415694,-2.28238091776851,-2.0735045868545,-1.88662545265305,-1.71521572410273,-1.57141375422314,-1.48405280312235,-1.36235572913107,-1.20825702489963,-0.993680761501248
2,-5.45046893923405,-5.26873807387373,-5.18485242100902,-5.12495382876938,-5.0466455105936,-4.99109667306584,-4.92722099489328,-4.87128522390221,-4.82881044738134,-4.79181940905759,-4.75746603581908,-4.7070824846903,-4.677999477728,-4.6508250085748,-4.62625850205261,-4.59439269537366,-4.57085681279968,-4.54571552646394,-4.5227913960285,-4.50004441509329,-4.47445865607292,-4.44551093458432,-4.41131371268926,-4.38984000307815,-4.36949060376872,-4.34996704214729,-4.32415511065642,-4.30085622981852,-4.28030591541845,-4.25868716472259,-4.24047981486192,-4.22380876457654,-4.21104732996068,-4.18885554460729,-4.17354395958823,-4.15597582894722,-4.12380904329364,-4.10659327706068,-4.08303247948811,-4.05628676344332,-4.03935443976962,-4.01503909285675,-3.99920943047859,-3.97708534666593,-3.95367784312679,-3.93286190672016,-3.91370341047479,-3.89377173709768,-3.87356829776333,-3.84720379316987,-3.81661641633212,-3.79621897348493,-3.76932891431303,-3.74263254435517,-3.72209853023664,-3.68096751060511,-3.64821942834204,-3.59952526725779,-3.56278182116816,-3.53513634664028,-3.49617367421259,-3.44855143999593,-3.41017182647327,-3.37153604590365,-3.33763520742517,-3.28125013988308,-3.20922037449491,-3.14682344252352,-3.03401957711324,-2.94189114161882,-2.85511571927423,-2.79237704328043,-2.67906341594894,-2.6284403005267,-2.57501477002337,-2.52986712592818,-2.47193396244924,-2.41464896728555,-2.35922497190458,-2.32224625703823,-2.28253486876143,-2.2395562280921,-2.20397147182374,-2.16204588702932,-2.1169288299565,-2.06219139499097,-2.02189384633182,-1.98514904317755,-1.92850280991848,-1.88579174104621,-1.83985289865103,-1.7865419942301,-1.73833385911532,-1.67825568598164,-1.61764666196708,-1.54226593632613,-1.46783821695902,-1.38533978468705,-1.24717980379037
3,-4.39594483045623,-4.17000244244172,-4.07234535513008,-3.99110625625922,-3.91148063290825,-3.85545059157433,-3.76791007610326,-3.70983508917425,-3.66252400397289,-3.60707343486476,-3.5525331351068,-3.50214764947452,-3.4515661825963,-3.40532501458952,-3.35004760201103,-3.31340170315459,-3.27733274342251,-3.24743035798646,-3.21981441420187,-3.18835119182354,-3.16078814222453,-3.1211303773884,-3.10001103219227,-3.08108584270008,-3.05569365100147,-3.03532217601722,-3.01101922634886,-2.9946467827753,-2.9778799009075,-2.95289560291367,-2.93844400198519,-2.92631941298659,-2.90892835125576,-2.89528352944393,-2.88122453238884,-2.864109811281,-2.85328076242994,-2.84011723409637,-2.81758928723483,-2.80075171558419,-2.78674368714707,-2.7705057307189,-2.75850900957141,-2.74114661150948,-2.72368696887162,-2.71181939828742,-2.69626253909356,-2.68129734330921,-2.66172821519802,-2.65118763384362,-2.63275535359889,-2.61925765500882,-2.60803929214006,-2.5977379312613,-2.58042914438409,-2.56605523166591,-2.55044880883802,-2.52942803294939,-2.50714230279117,-2.48677718294498,-2.47127400231951,-2.44643179350783,-2.42684826981239,-2.40785891922203,-2.38654833405496,-2.36398443404045,-2.34854123831467,-2.32950255684142,-2.30602447985162,-2.28409580371544,-2.2639157149574,-2.24181683897749,-2.21068496143192,-2.1914598526445,-2.16300794854247,-2.13534264221165,-2.09676668088164,-2.04433272329049,-2.01029731602115,-1.97668348891802,-1.94764228432007,-1.90819515473155,-1.83952951594822,-1.78181929032907,-1.71331850673784,-1.64034860522756,-1.50538984380447,-1.37623097580048,-1.23259632513993,-1.08749697604543,-0.935241013750731,-0.824074806491804,-0.687714431748271,-0.594876168938827,-0.49436098451413,-0.369548834696959,-0.228262457476858,-0.0428968687675896,0.213433203861974
4,-4.54353747213473,-4.34085838281075,-4.25479295872626,-4.16042135024412,-4.0862859178875,-4.02038985863249,-3.98547819363821,-3.93022775355801,-3.88905963065147,-3.85030150676616,-3.8043180988779,-3.77317881741956,-3.73547146875813,-3.68292516932638,-3.61251182599292,-3.5529364708064,-3.50025141937131,-3.44586492280054,-3.40007805718352,-3.32532955750829,-3.20970299817656,-3.13387256504294,-3.07565270549889,-2.99579645743855,-2.92198256453187,-2.87063596800043,-2.80800221340933,-2.75600960992129,-2.71028325750568,-2.67039648947732,-2.64518170235862,-2.61664898335351,-2.5829816016984,-2.54662854846935,-2.51133685716321,-2.48257691907116,-2.45283285537459,-2.43540292593991,-2.40703355674915,-2.38748140613775,-2.35225119537498,-2.31701229649315,-2.28319213978756,-2.26120601845809,-2.23493626546041,-2.2124468250785,-2.19416298158569,-2.16484579330855,-2.14005164713537,-2.11166929359156,-2.08528918093368,-2.05768782007124,-2.03563491174283,-1.99712113860266,-1.95754550900356,-1.92200379568654,-1.88604885183253,-1.85819922816324,-1.82490509841751,-1.76504054269748,-1.70481642938299,-1.62617549166151,-1.58837889366555,-1.521915498792,-1.45351554102572,-1.36175577207985,-1.2781328076048,-1.20606825689473,-1.11321719538779,-1.02921149912836,-0.950681349530938,-0.907727074577741,-0.862481043328865,-0.798302426640243,-0.743480574652923,-0.694941908606712,-0.669292077055308,-0.63595245398599,-0.592186783668153,-0.559570884959682,-0.528144462684495,-0.490814657240692,-0.44896215029789,-0.412650542829375,-0.36860443395305,-0.328314183039357,-0.287956333140845,-0.237072500333451,-0.206328497551875,-0.150933807865539,-0.121962924930905,-0.0944425757594707,-0.0483778370247728,0.00987688636384259,0.0640222724547868,0.124984284383348,0.161998626573992,0.26395692100576,0.377204643947322
5,-5.32149626733759,-5.0084837096166,-4.88734870057346,-4.81828646305425,-4.77774593185383,-4.74808610822968,-4.71724585699839,-4.68314703006751,-4.65153186818516,-4.63624735279097,-4.59779859017651,-4.5723230960813,-4.55504367158366,-4.53354506630402,-4.51597453336929,-4.49886825634172,-4.47794595875689,-4.46382632834461,-4.45084023411263,-4.43522824625172,-4.42431365116986,-4.40302948391489,-4.38961620308837,-4.37124612251394,-4.35840795823079,-4.34071063303344,-4.33242473181722,-4.31825812311643,-4.30501705054844,-4.29428461007844,-4.27333811597201,-4.26002984546512,-4.24896646925416,-4.23475015626452,-4.22854078463022,-4.21646527097956,-4.20680822781835,-4.19416213114705,-4.18440691530501,-4.16922051177916,-4.15062841439576,-4.14053365303747,-4.12421428248945,-4.11020317973914,-4.09975248127786,-4.08849532091022,-4.07811100935112,-4.05984847945976,-4.04993899652894,-4.03332395908672,-4.0222804451498,-4.01073231000734,-3.99836937701603,-3.98883802807056,-3.97672801896327,-3.96414201957682,-3.95068572598576,-3.93202312267607,-3.92038186693595,-3.90816149329652,-3.89792443452874,-3.88797070461671,-3.87420873103236,-3.86149946135113,-3.8484673923399,-3.83904818668933,-3.83132599938769,-3.8094865206698,-3.79741301894437,-3.77975608763019,-3.76717134336276,-3.75231366103718,-3.73879814448949,-3.72411270891376,-3.71332466237187,-3.69424752439382,-3.67363470945768,-3.65544517381686,-3.63406190199289,-3.61450711088028,-3.59415243271835,-3.57950719489319,-3.55776041196074,-3.53527205063902,-3.51370219603067,-3.49115921767418,-3.4676319514908,-3.43801337786327,-3.39441376897441,-3.36400405907292,-3.32613985702386,-3.29107038401485,-3.23698418600935,-3.1875262672742,-3.13494983963515,-3.08172446121919,-2.99592083150076,-2.87976589462137,-2.75119759121872
6,-4.75288460797782,-4.58619235157794,-4.43224970958434,-4.36906008707198,-4.31497123134065,-4.25621375460531,-4.21038228258866,-4.17115272118831,-4.12108262501613,-4.09140971373862,-4.05301322886729,-4.02620633442504,-3.99326540761291,-3.95962156963966,-3.93833020440928,-3.88918812074588,-3.86022061667303,-3.82724810197203,-3.80296658832134,-3.7778828238215,-3.73276356124212,-3.70594179250207,-3.67609915776892,-3.65247595439773,-3.61420168248454,-3.57485689180595,-3.53349220104806,-3.50135345557249,-3.47090249813892,-3.44434801465753,-3.41479268191151,-3.39697739792956,-3.36858941885379,-3.33225684199544,-3.3057043897169,-3.27857854504666,-3.25949985927734,-3.23710981832714,-3.22101884917845,-3.20057828636451,-3.17706463212168,-3.16407867760027,-3.1489481750851,-3.13449841234127,-3.11672330887718,-3.09909013429139,-3.07771713370056,-3.05888454313639,-3.03906833445643,-3.02171860049883,-3.00833778766255,-2.9880349761129,-2.96971515775736,-2.95601654433893,-2.94202095264313,-2.92551198603151,-2.90490929713507,-2.89206531105786,-2.87803387642176,-2.86116143497503,-2.85152386391686,-2.83944138886534,-2.82139467170091,-2.80255965403879,-2.78670769224854,-2.76681608242687,-2.74553609289623,-2.72771051729739,-2.71301848073078,-2.69848984409846,-2.67687377978643,-2.65467915440489,-2.62955174448918,-2.61110480779173,-2.59472449513897,-2.55866314109531,-2.53631330951723,-2.51082444418717,-2.47229969272473,-2.44237310324291,-2.41258908168335,-2.37834745634619,-2.35969820513746,-2.30185259764275,-2.2473235248421,-2.19184938858711,-2.14666941594489,-2.09050738289942,-2.0174625501131,-1.93149018657392,-1.86246841074608,-1.77090534394049,-1.66137451656122,-1.51065376129957,-1.41045270200093,-1.30444108383078,-1.15569539851979,-0.926631295816751,-0.699298181245292
7,-4.70700332472134,-4.47578055964269,-4.39134727870921,-4.32120169395379,-4.27003450050907,-4.23871840452728,-4.21343843561239,-4.18581974894931,-4.15684069185654,-4.13339506015629,-4.11036001295337,-4.09582450715507,-4.07091938115811,-4.0549140522457,-4.03345155363953,-4.01002314714712,-3.99756359835012,-3.98752355074791,-3.96536739390524,-3.95286693055052,-3.93748546316599,-3.92398215032665,-3.91142168191193,-3.89563248792114,-3.88402884130572,-3.86805907697139,-3.85347385777524,-3.84516614072974,-3.8340364827389,-3.81929920084257,-3.80923290510619,-3.79794756837747,-3.78809826103669,-3.77987894318276,-3.76874410669275,-3.75708763894322,-3.74775606864392,-3.73593261379483,-3.72468287772214,-3.71681747440094,-3.70288263572439,-3.6905816954646,-3.68197106485421,-3.66978726244548,-3.66225274326403,-3.64797802312872,-3.63670989732919,-3.62786345139482,-3.61707625905104,-3.6039258403939,-3.59417818306917,-3.58227858527981,-3.57056194678447,-3.55824686861606,-3.54691173817365,-3.53322210579032,-3.51948834237135,-3.50832694756194,-3.49467949147666,-3.48588821908561,-3.47555299265395,-3.46543280565712,-3.45729637133438,-3.44247500972921,-3.43005718075664,-3.42156028094727,-3.4115847893568,-3.40129511866524,-3.38884288935732,-3.3774826638934,-3.36782286264206,-3.35204026996645,-3.34202423726268,-3.32514131744339,-3.31626771942607,-3.29852359765165,-3.28113933540589,-3.26719733040163,-3.25035535299142,-3.24190146981876,-3.22558044271917,-3.20798804991814,-3.19081778689031,-3.17891091343609,-3.16178346040403,-3.14513224287796,-3.12149370587123,-3.09673949371714,-3.07744043640974,-3.03658190704647,-3.00373036009016,-2.97556195563339,-2.92973134387024,-2.86819011852481,-2.80327279586669,-2.73828983771525,-2.62826795434478,-2.3580602504243,-1.87623844449048
8,-4.70157190058823,-4.53109164378033,-4.42591529958127,-4.34798345774881,-4.27155526752955,-4.21690014477076,-4.16835048299635,-4.11481215540742,-4.07775099017517,-4.03591704283391,-3.99302225576253,-3.93298768968453,-3.89171428652675,-3.84858834750835,-3.80214656451905,-3.76179012717865,-3.71429124073361,-3.68033660055375,-3.62856797926717,-3.5676545318432,-3.5257330363489,-3.50187211358651,-3.47802131465371,-3.43535646871366,-3.41572275014552,-3.39155973188168,-3.36707062121294,-3.34375197067612,-3.32422929102141,-3.29811394862133,-3.28060260553211,-3.26670898019393,-3.24721796779759,-3.22674848775365,-3.21393140909751,-3.1875762486762,-3.17233693988125,-3.1517716928926,-3.13704675042495,-3.11976890638543,-3.10185002498689,-3.08320852058271,-3.06543950737076,-3.05074110231889,-3.03594264735325,-3.01310218140088,-2.99900785165074,-2.98780178474067,-2.97054862951397,-2.94610024625824,-2.93215475590088,-2.92102952763257,-2.90890853579993,-2.89611398321848,-2.88279483247715,-2.8694872864731,-2.85454322480844,-2.8406895458908,-2.82612451177609,-2.81240611652986,-2.79537348829799,-2.78627573850682,-2.77155758745499,-2.75855744730201,-2.74712216578002,-2.73253001127322,-2.71643880522732,-2.701396689618,-2.67937321625539,-2.66248457102267,-2.64945516363654,-2.63346891151958,-2.60341603684117,-2.58170434000759,-2.55541691095625,-2.53389445082271,-2.50394322306014,-2.47098091594187,-2.43930815675848,-2.39006972738445,-2.36053812746143,-2.30315046876585,-2.26335635798187,-2.21684875611517,-2.17238572061315,-2.11614113143204,-2.06179771564651,-2.0311218677134,-1.93905077953428,-1.86817160798741,-1.83545024368666,-1.74178175589793,-1.67656021843515,-1.60543736911281,-1.50238075039372,-1.36715792120991,-1.2214582911396,-1.11525335109882,-0.897873056327153
9,-3.47874167431543,-3.09639514558641,-2.92646207381522,-2.68021582495882,-2.5027123340418,-2.41430769736869,-2.36029010857457,-2.27998790698561,-2.22166661834615,-2.17453262853931,-2.10057930000918,-2.05005318502059,-2.00145769049326,-1.94464357113246,-1.89538239688585,-1.85542230370385,-1.82327033587319,-1.79598600223227,-1.76864452775481,-1.73878197351789,-1.71630093195159,-1.6957281069608,-1.67039353113514,-1.64480999939597,-1.62033123073407,-1.60263705014503,-1.58764807856748,-1.57136085372655,-1.54623338365555,-1.53075638257308,-1.51712964777017,-1.50028641776459,-1.48052279603009,-1.46516397481253,-1.4478018103508,-1.43393531901231,-1.41900137706509,-1.40112929391569,-1.38583112543572,-1.36979126646245,-1.35761263063317,-1.34149319592485,-1.33377128345464,-1.32251972748599,-1.31147163637652,-1.29716982165904,-1.28387043921737,-1.26850769923207,-1.25427751687494,-1.24198710413452,-1.22526311066519,-1.21316057514152,-1.20178880704636,-1.19224412983168,-1.18101963769356,-1.17009307611967,-1.15126452854318,-1.1341072717627,-1.11813398767623,-1.10950628101998,-1.09545760252943,-1.08052017836246,-1.06070432488537,-1.04613699898334,-1.03736658683063,-1.01945146946929,-1.00497988080564,-0.992716052848211,-0.978097199705887,-0.967598204491906,-0.955418967421435,-0.936270515132805,-0.925811419900283,-0.910528313274405,-0.895509750331795,-0.884023681921992,-0.869851183146119,-0.857141920651966,-0.845387302501026,-0.821483906522262,-0.80727453913742,-0.79083514853293,-0.772787264628423,-0.754296251494047,-0.732054671146318,-0.717685032685538,-0.700571280757394,-0.684072295785509,-0.663318336222081,-0.62933676929479,-0.605414792312096,-0.580327957023838,-0.550626951512213,-0.521563682164148,-0.493854910745508,-0.458778915482311,-0.405371603793299,-0.34365619079291,-0.258058221083814
10,-5.18821669193453,-5.03806914483117,-4.94994781274983,-4.90091545341309,-4.82196230989373,-4.74762407466554,-4.68560397840157,-4.63683961392885,-4.56315855011048,-4.51389304940907,-4.48471049285956,-4.44470482716832,-4.39300436064194,-4.34413261971001,-4.28672257594718,-4.21227054188817,-4.14715281326801,-4.10221666831579,-4.03503817363111,-3.96105575489232,-3.90201317282027,-3.84359899476798,-3.79211394727802,-3.75424307513012,-3.70850722346687,-3.6688637396129,-3.63902469634822,-3.6094530604256,-3.58310401269049,-3.55221495514175,-3.51417495958396,-3.48759960907756,-3.461675556306,-3.43389338286199,-3.4152930167902,-3.38596057673182,-3.35547091069379,-3.33638782706258,-3.31121822612567,-3.29735190893466,-3.26899369804496,-3.24243595438004,-3.21783345817118,-3.19037836194307,-3.17449442379391,-3.15236072071072,-3.12204025032461,-3.09940813176918,-3.08257988327382,-3.0576240238344,-3.03264307251975,-3.00370109636614,-2.97897098546483,-2.95205476721433,-2.92185221979326,-2.88791815933576,-2.86716145508305,-2.83822710727872,-2.8081814724625,-2.76867148092344,-2.73335588593367,-2.69381060573802,-2.64667666158442,-2.60152615085902,-2.54585743151815,-2.47850839756782,-2.40361304864876,-2.35015287820663,-2.26502738158083,-2.16703914374997,-2.07417909209616,-1.97772485587204,-1.89930777031439,-1.81885366024888,-1.76876913661426,-1.70392852166722,-1.65295310289472,-1.60885271170655,-1.55532194161293,-1.50575793474163,-1.44471778082813,-1.40490313680841,-1.37048637295714,-1.34389276720803,-1.30647325603837,-1.27058849762407,-1.22964511527518,-1.18560651655349,-1.14243903665537,-1.08461727726182,-1.0436603084924,-0.998721817627652,-0.942938930757992,-0.890532710927682,-0.84476642822233,-0.788546963401882,-0.707519147929185,-0.632307409325631,-0.492051876804541
