Index,Trad.RSD1,Reg.RSD1,Prob.1,Prob.2,Prob.3,Prob.4,Prob.5,Prob.6,Prob.7,Prob.8,Prob.9,Prob.10,Prob.11,Prob.12,Prob.13,Prob.14,Prob.15,Prob.16,Prob.17,Prob.18,Prob.19,Prob.20,Prob.21,Prob.22,Prob.23,Prob.24,Prob.25,Prob.26,Prob.27,Prob.28,Prob.29,Prob.30,Prob.31,Prob.32,Prob.33,Prob.34,Prob.35,Prob.36,Prob.37,Prob.38,Prob.39,Prob.40,Prob.41,Prob.42,Prob.43,Prob.44,Prob.45,Prob.46,Prob.47,Prob.48,Prob.49,Prob.50,Prob.51,Prob.52,Prob.53,Prob.54,Prob.55,Prob.56,Prob.57,Prob.58,Prob.59,Prob.60,Prob.61,Prob.62,Prob.63,Prob.64,Prob.65,Prob.66,Prob.67,Prob.68,Prob.69,Prob.70,Prob.71,Prob.72,Prob.73,Prob.74,Prob.75,Prob.76,Prob.77,Prob.78,Prob.79,Prob.80,Prob.81,Prob.82,Prob.83,Prob.84,Prob.85,Prob.86,Prob.87,Prob.88,Prob.89,Prob.90,Prob.91,Prob.92,Prob.93,Prob.94,Prob.95,Prob.96,Prob.97,Prob.98,Prob.99
231,-1.839523007,-2.544068044,-0.93194131,-1.013971182,-1.077167686,-1.138259788,-1.201261985,-1.25263543,-1.304697866,-1.358448578,-1.396316173,-1.415190079,-1.433067012,-1.455671548,-1.47684558,-1.494337921,-1.516128016,-1.539263581,-1.560888427,-1.584029517,-1.606992068,-1.629239372,-1.64932996,-1.672985776,-1.696608166,-1.722008204,-1.745898318,-1.769181156,-1.792108491,-1.822779206,-1.845683389,-1.86640542,-1.890410266,-1.912719032,-1.933788131,-1.954658881,-1.976329995,-1.995621702,-2.018912542,-2.041271255,-2.065400193,-2.091314872,-2.113546199,-2.139117445,-2.162637526,-2.1862847,-2.206905021,-2.230189254,-2.251683438,-2.274649604,-2.301527406,-2.325024355,-2.347142484,-2.369139503,-2.392344416,-2.412704421,-2.430774525,-2.449307963,-2.471619761,-2.497216635,-2.515544487,-2.536326988,-2.555746531,-2.574787179,-2.597633689,-2.619497208,-2.640983398,-2.663445353,-2.685454706,-2.710456056,-2.732079588,-2.753483206,-2.773398293,-2.792158378,-2.81122653,-2.8317621,-2.853091334,-2.872581101,-2.891217604,-2.907705054,-2.927430699,-2.947571573,-2.965832127,-2.988427395,-3.014279921,-3.035159951,-3.057657701,-3.081218636,-3.105504324,-3.129036726,-3.15395847,-3.181168391,-3.210844386,-3.244307102,-3.282787991,-3.33174509,-3.374959866,-3.431603684,-3.490783857,-3.585207683,-3.742658783
232,-2.040575009,-2.544068044,-0.691876239,-0.863995926,-0.98549382,-1.080604129,-1.149988415,-1.186638945,-1.227858898,-1.269187172,-1.302696649,-1.32948,-1.35714482,-1.384764383,-1.409571379,-1.43308982,-1.455815746,-1.480580641,-1.503333007,-1.523183154,-1.542782322,-1.560736887,-1.580070271,-1.60004739,-1.622163164,-1.63784032,-1.655480315,-1.666597485,-1.680693628,-1.692845981,-1.709471515,-1.721434809,-1.735338743,-1.745599178,-1.760806522,-1.773358622,-1.787079886,-1.799216412,-1.814011184,-1.826038262,-1.83809661,-1.852107629,-1.864508229,-1.87688546,-1.889902853,-1.902450741,-1.914722094,-1.928254417,-1.942613931,-1.953530174,-1.967848279,-1.980537595,-1.992825098,-2.005233935,-2.017913115,-2.032771739,-2.045344289,-2.057627871,-2.069619778,-2.081785189,-2.094678332,-2.107655747,-2.120940302,-2.132466965,-2.145736486,-2.15956946,-2.173799765,-2.188819059,-2.204427084,-2.219817156,-2.233835322,-2.249223171,-2.265033874,-2.281312905,-2.297026515,-2.317748766,-2.334867312,-2.351973078,-2.369061697,-2.387359116,-2.406008828,-2.42588187,-2.449370529,-2.470926182,-2.496417173,-2.519219356,-2.545133182,-2.572876938,-2.600241016,-2.629569315,-2.658200583,-2.685272382,-2.717855952,-2.748163514,-2.786485006,-2.833089575,-2.883013124,-2.939383644,-3.016677982,-3.111806853,-3.242522031
233,-1.428657835,-0.544068044,-1.042690575,-1.113778289,-1.171553393,-1.225788823,-1.271651877,-1.309947897,-1.345571376,-1.385509931,-1.423810597,-1.455143322,-1.48917235,-1.49936207,-1.509952106,-1.520083864,-1.531382536,-1.543674255,-1.556728283,-1.57012718,-1.582177735,-1.591955439,-1.600825816,-1.611522586,-1.622782489,-1.633810524,-1.644850181,-1.655599615,-1.666469788,-1.677130372,-1.687882339,-1.69786259,-1.708336579,-1.720916156,-1.732272799,-1.745009917,-1.755314119,-1.766203008,-1.777340391,-1.78801796,-1.799862358,-1.810798898,-1.823182672,-1.833685709,-1.847045381,-1.858151993,-1.870693522,-1.882617237,-1.895090761,-1.908984406,-1.921293119,-1.93414809,-1.948485485,-1.962548297,-1.978368303,-1.989907038,-1.997187756,-2.004293889,-2.013276673,-2.020575832,-2.027868942,-2.035489904,-2.042846049,-2.051481534,-2.060584401,-2.070522911,-2.080275696,-2.089814126,-2.100449734,-2.110396892,-2.12043957,-2.130389414,-2.143771377,-2.153529273,-2.165014802,-2.17692061,-2.190104469,-2.203187641,-2.215799253,-2.23032947,-2.242153224,-2.258350419,-2.275183854,-2.290405217,-2.307848991,-2.323904005,-2.342748776,-2.361419676,-2.382720213,-2.409558006,-2.437190426,-2.462471414,-2.492511336,-2.519577971,-2.550414757,-2.579290601,-2.612707322,-2.655133078,-2.715872518,-2.798525444,-2.923201045
234,-1.379600772,-0.544068044,-1.023235053,-1.07834743,-1.116983211,-1.155542893,-1.19240732,-1.229519311,-1.257996192,-1.286738415,-1.314958158,-1.341447349,-1.36881877,-1.398695342,-1.422151246,-1.450012226,-1.477063393,-1.491171143,-1.49854858,-1.507766847,-1.516815274,-1.526771518,-1.536741478,-1.546598844,-1.556860815,-1.56501093,-1.572394442,-1.581178269,-1.590418063,-1.598573843,-1.608012809,-1.617700377,-1.625894305,-1.634774943,-1.643390565,-1.652114017,-1.661530895,-1.671509519,-1.680994493,-1.691005487,-1.700212766,-1.710249071,-1.720452301,-1.730318992,-1.740435473,-1.750705734,-1.761889989,-1.771763264,-1.781757846,-1.79191017,-1.801404304,-1.811615941,-1.82160842,-1.832290284,-1.844663231,-1.858443817,-1.870411709,-1.88125793,-1.893662185,-1.905587873,-1.916944285,-1.930157194,-1.945520114,-1.959235725,-1.974309027,-1.988742547,-1.99635389,-2.002897027,-2.010065745,-2.018685088,-2.025874717,-2.034534106,-2.04204473,-2.051109526,-2.060876332,-2.070151729,-2.081214075,-2.092968137,-2.103774039,-2.1138586,-2.126861752,-2.138129146,-2.152220023,-2.166405533,-2.182578867,-2.197410528,-2.216255425,-2.234394587,-2.254258445,-2.275942348,-2.296999555,-2.320700431,-2.347919344,-2.382846892,-2.420329277,-2.457997052,-2.492271101,-2.538383903,-2.584918614,-2.652235339,-2.805724043
235,-1.650665644,-0.544068044,NA,NA,-0.142526073,-0.642461997,-0.809793935,-0.960755139,-1.026391804,-1.081746658,-1.116356899,-1.154939115,-1.195884235,-1.230965786,-1.259416403,-1.286442356,-1.30928175,-1.332073789,-1.355738024,-1.375626945,-1.395696318,-1.414940917,-1.433862126,-1.452573507,-1.469360195,-1.488469322,-1.506691573,-1.521218036,-1.535244828,-1.550643877,-1.563586468,-1.575991108,-1.590137669,-1.602784864,-1.615677852,-1.629348569,-1.64087677,-1.654457298,-1.666698375,-1.679742366,-1.693584365,-1.705942294,-1.720108639,-1.731314434,-1.744589939,-1.756526276,-1.767591765,-1.780942814,-1.793402627,-1.807802007,-1.819707919,-1.832966445,-1.84594643,-1.857978236,-1.871302651,-1.885642933,-1.89954651,-1.913280743,-1.925643122,-1.939767982,-1.95412447,-1.968871398,-1.983388492,-2.000509548,-2.016312586,-2.030827954,-2.048672005,-2.065275394,-2.081467196,-2.099963407,-2.120920129,-2.141290523,-2.16237326,-2.181168924,-2.203151849,-2.228781993,-2.251888218,-2.275703773,-2.300727058,-2.329566731,-2.358548897,-2.383047736,-2.415137148,-2.445960831,-2.478889259,-2.517134336,-2.553478909,-2.590940299,-2.628266548,-2.663097166,-2.698226697,-2.737716427,-2.774345694,-2.818864511,-2.863539839,-2.914107453,-2.976474526,-3.047788997,-3.11788621,-3.220074549,-3.352537609
236,-1.127141224,-0.544068044,-0.59583974,-0.692276971,-0.77289094,-0.838557608,-0.902332803,-0.944489399,-0.95686655,-0.972002318,-0.985821804,-1.001011985,-1.014979023,-1.029321651,-1.044361562,-1.059691461,-1.071808009,-1.084901464,-1.096382991,-1.109979613,-1.123474607,-1.136441149,-1.147064804,-1.160556807,-1.170974583,-1.18456716,-1.196282588,-1.207387457,-1.220352285,-1.231886085,-1.243736494,-1.256905067,-1.269516261,-1.283212389,-1.296102479,-1.310624173,-1.325020233,-1.336590944,-1.350282237,-1.360947879,-1.375155311,-1.389864135,-1.401317523,-1.414766068,-1.42670092,-1.440895818,-1.446832621,-1.452223736,-1.459356952,-1.466061301,-1.472686026,-1.479570491,-1.487450343,-1.495764887,-1.503206736,-1.512283085,-1.52006091,-1.527248853,-1.534166145,-1.542383986,-1.550795541,-1.559863838,-1.570064353,-1.580436366,-1.590611758,-1.600200024,-1.610586784,-1.622310477,-1.634202545,-1.645681144,-1.655694846,-1.666075416,-1.678129916,-1.689930465,-1.7028565,-1.714703533,-1.728126679,-1.743335145,-1.757853035,-1.773813798,-1.790445259,-1.807742486,-1.824758629,-1.844036345,-1.86035269,-1.878476192,-1.9036736,-1.926900363,-1.947194482,-1.966003852,-1.98657495,-2.010710606,-2.040857773,-2.070313162,-2.10393912,-2.146653342,-2.195039059,-2.259604156,-2.346514221,-2.467566257,-2.646297417
237,-0.980248977,-0.544068044,-0.487346435,-0.582294326,-0.653223574,-0.705543007,-0.755474336,-0.811492892,-0.86938181,-0.891231448,-0.902156574,-0.911421898,-0.92381896,-0.936757312,-0.950217972,-0.964095365,-0.978497032,-0.990505929,-1.006188382,-1.018815715,-1.030102501,-1.042239045,-1.052957911,-1.064621117,-1.076266017,-1.088635418,-1.099449934,-1.108293958,-1.119679431,-1.132110367,-1.144896486,-1.156689135,-1.168089993,-1.180679495,-1.194771221,-1.205356926,-1.217168451,-1.22950498,-1.241811192,-1.2540947,-1.26463785,-1.277810089,-1.289594011,-1.306142386,-1.319372824,-1.333298906,-1.348282044,-1.36242671,-1.375184621,-1.385388446,-1.39202709,-1.398911673,-1.405983365,-1.415313107,-1.423909762,-1.432294838,-1.440271315,-1.449306195,-1.458153194,-1.465171008,-1.474075765,-1.483586687,-1.493547666,-1.503949215,-1.51458458,-1.524131859,-1.534906794,-1.546815265,-1.557932205,-1.570211248,-1.583640944,-1.59578589,-1.611439559,-1.626456562,-1.640578291,-1.657642554,-1.677427942,-1.694860959,-1.713546478,-1.732110684,-1.752975135,-1.772565211,-1.798604265,-1.823148782,-1.846304,-1.877364259,-1.902175901,-1.926938017,-1.957900751,-1.995695399,-2.039089103,-2.084539982,-2.149280916,-2.223211983,-2.302357062,-2.411263578,-2.50908671,-2.591720026,-2.689180157,-2.81840608,-2.992920884
238,1.999446204,2.698970004,2.34741802,2.217977177,2.125307263,2.106979471,2.089190404,2.066320454,2.036999795,2.00286308,1.975251045,1.958738214,1.937595819,1.913698648,1.897082873,1.873900279,1.853935295,1.83124183,1.81110401,1.790049791,1.770878714,1.750740981,1.730635848,1.707770875,1.685870752,1.660814497,1.638183001,1.619183941,1.610945964,1.60253003,1.592096086,1.580275534,1.566872216,1.552357902,1.537460974,1.522695543,1.51498275,1.503813805,1.488296781,1.471229679,1.454284445,1.442502022,1.426365835,1.406229085,1.389727374,1.372657162,1.347388838,1.327119724,1.303010875,1.276808133,1.25245758,1.225461757,1.198437197,1.164376082,1.125377075,1.099850486,1.063246232,1.029387053,0.979028568,0.923505427,0.842003417,0.702076107,0.506712918,0.325298464,0.215647706,0.139794114,0.080046705,0.032512679,-0.014129074,-0.056725694,-0.091738868,-0.125349474,-0.155570797,-0.187092569,-0.215156884,-0.246707119,-0.268985509,-0.295546213,-0.322159366,-0.351530438,-0.378078807,-0.398422785,-0.423825982,-0.445044703,-0.466555252,-0.489200347,-0.509770926,-0.534060136,-0.56009872,-0.58498976,-0.611429053,-0.636651848,-0.670047762,-0.70444393,-0.740519102,-0.780858584,-0.819850275,-0.884352736,-0.945544051,-1.023236194,-1.140074895
239,2.426080565,2.698970004,2.929530184,2.714383288,2.61387995,2.595762644,2.572852087,2.542182801,2.507997139,2.482201075,2.459802201,2.430573789,2.405030096,2.377748179,2.357096053,2.331496909,2.31161949,2.28538181,2.263961677,2.242666384,2.219996742,2.200198163,2.176246982,2.153164736,2.130718539,2.117781399,2.110548941,2.103114951,2.093695047,2.083275313,2.070187516,2.056497562,2.043861079,2.030390221,2.021345385,2.012819482,2.002064267,1.985213014,1.969156055,1.951116872,1.943311097,1.928046072,1.908037355,1.890918229,1.877522074,1.858309267,1.841619313,1.8200269,1.800311524,1.779276092,1.758237315,1.72870698,1.702123282,1.678022624,1.65051189,1.61716126,1.596772795,1.572224656,1.539948404,1.506960235,1.462138121,1.409884384,1.340410196,1.232083259,1.084389853,0.79350187,0.619191145,0.505519559,0.433593241,0.370870527,0.309068368,0.253035763,0.211803982,0.163789202,0.126038116,0.092379665,0.06222847,0.035076827,0.005628545,-0.021587921,-0.047105025,-0.076245597,-0.102890882,-0.129808086,-0.158448784,-0.186379072,-0.21393538,-0.244864034,-0.273745744,-0.300926352,-0.333937491,-0.363410719,-0.396521582,-0.427595555,-0.461126528,-0.499346044,-0.541707704,-0.589864162,-0.65670306,-0.736763859,-0.859668053
240,0.780288717,0.408935393,2.670161742,1.556905305,1.407369901,1.318508973,1.245007671,1.178265747,1.133847694,1.103490357,1.0768028,1.051254031,1.026815893,1.003114054,0.983611573,0.963523257,0.945669156,0.927346641,0.909786519,0.891549213,0.876829932,0.859704644,0.842375201,0.826171642,0.810464963,0.793590006,0.77905523,0.764748799,0.750746142,0.738173395,0.725291988,0.711094815,0.697488025,0.684357015,0.671162206,0.65774079,0.644513477,0.631485009,0.619998317,0.608839331,0.598082108,0.585248369,0.572564955,0.560935388,0.548623331,0.537149919,0.525869033,0.513906234,0.502854458,0.490230989,0.478585349,0.466109209,0.456039537,0.443505464,0.431209548,0.418863931,0.405932354,0.39103661,0.376142147,0.361943318,0.347981957,0.333864479,0.317240732,0.302893327,0.286510249,0.270561978,0.252119379,0.233852594,0.215985935,0.194777907,0.173409652,0.154921391,0.134107623,0.112173845,0.091487213,0.069919451,0.047086186,0.020076692,-0.003154261,-0.02722931,-0.052769991,-0.078627537,-0.112635197,-0.141687343,-0.171358512,-0.202635053,-0.236252141,-0.271510669,-0.306584488,-0.349419087,-0.384441603,-0.415386034,-0.455559941,-0.498335446,-0.542351228,-0.58417601,-0.625546214,-0.686105365,-0.752729984,-0.837989942,-0.978744926
