"Index","indivrisk","Incidence","X5.","X50.","X95."
16,0.1,0.5,0.007294313,0.027389767,0.099475518
17,1e-06,0.5,1.08e-07,4.41e-07,4.03e-06
17,1e-05,0.5,1.05e-06,4.03e-06,2.64e-05
17,1e-04,0.5,1.01e-05,3.64e-05,0.000186325
17,0.001,0.5,9.6e-05,0.00032702,0.001313436
17,0.01,0.5,0.000893235,0.002910095,0.009957456
17,0.1,0.5,0.008798661,0.027286654,0.087544788
18,1e-06,0.5,7.69e-06,4.83e-05,6.955463534
18,1e-05,0.5,7.69e-05,0.000480399,8.363859454
18,1e-04,0.5,0.000768196,0.004776856,10.02753323
18,0.001,0.5,0.007682651,0.046982636,12.38061703
18,0.01,0.5,0.076644805,0.451957316,15.47978361
18,0.1,0.5,0.778153486,3.595450572,23.12288278
19,1e-06,0.5,8.1e-06,4.9e-05,6.289270565
19,1e-05,0.5,8.1e-05,0.000488672,7.560943639
19,1e-04,0.5,0.000810496,0.004863323,9.285813089
19,0.001,0.5,0.008097873,0.048229974,11.34775851
19,0.01,0.5,0.081215845,0.461582912,14.39834496
19,0.1,0.5,0.832715093,3.751781909,22.05214934
20,1e-06,0.5,5.79e-05,0.000460676,46.07271334
20,1e-05,0.5,0.000578154,0.004601024,53.23666381
20,1e-04,0.5,0.005772933,0.045836804,61.37005506
20,0.001,0.5,0.057755326,0.450517944,72.64957347
20,0.01,0.5,0.57698773,4.10823065,86.73437839
20,0.1,0.5,5.636077202,25.95365288,120.1025204
21,1e-06,0.5,2.25e-09,2.24e-08,9.82e-05
21,1e-05,0.5,2.1e-08,1.76e-07,0.000161981
21,1e-04,0.5,1.92e-07,1.4e-06,0.000272945
21,0.001,0.5,1.74e-06,1.07e-05,0.000469283
21,0.01,0.5,1.55e-05,7.87e-05,0.000846043
21,0.1,0.5,0.000136127,0.000548224,0.002304113
22,1e-06,0.5,8.72e-08,0.000227894,0.018738645
22,1e-05,0.5,4.85e-07,0.000580269,0.029560805
22,1e-04,0.5,2.75e-06,0.001516948,0.047116643
22,0.001,0.5,1.54e-05,0.004179311,0.075836476
22,0.01,0.5,7.68e-05,0.013414535,0.123808124
22,0.1,0.5,0.000420956,0.045833238,0.246213472
23,1e-06,0.5,9.61e-07,6.03e-06,0.983173032
23,1e-05,0.5,9.61e-06,6.03e-05,1.091768608
23,1e-04,0.5,9.6e-05,0.000601561,1.240969871
23,0.001,0.5,0.000958171,0.005934137,1.447144537
23,0.01,0.5,0.009298595,0.053987793,1.705574521
23,0.1,0.5,0.07618022,0.330669346,2.083109323
