Dataset,X1.,X2.,X3.,X4.,X5.,X6.,X7.,X8.,X9.,X10.,X11.,X12.,X13.,X14.,X15.,X16.,X17.,X18.,X19.,X20.,X21.,X22.,X23.,X24.,X25.,X26.,X27.,X28.,X29.,X30.,X31.,X32.,X33.,X34.,X35.,X36.,X37.,X38.,X39.,X40.,X41.,X42.,X43.,X44.,X45.,X46.,X47.,X48.,X49.,X50.,X51.,X52.,X53.,X54.,X55.,X56.,X57.,X58.,X59.,X60.,X61.,X62.,X63.,X64.,X65.,X66.,X67.,X68.,X69.,X70.,X71.,X72.,X73.,X74.,X75.,X76.,X77.,X78.,X79.,X80.,X81.,X82.,X83.,X84.,X85.,X86.,X87.,X88.,X89.,X90.,X91.,X92.,X93.,X94.,X95.,X96.,X97.,X98.,X99.
1,-6.50203023683985,-6.40310379038466,-6.3017612468324,-6.16849442873164,-6.11027411401855,-6.06038059379248,-6.02059738264859,-5.93232723275809,-5.85969518677432,-5.82135556899443,-5.76883921817624,-5.72456707091079,-5.64398642673543,-5.56965110505042,-5.4805287145389,-5.40614263372245,-5.34916477797892,-5.2672732400801,-5.18943403219696,-5.13847764699652,-5.08957686338817,-5.05851107653402,-5.02839393513822,-5.00751807443067,-4.98576525712614,-4.95590739485016,-4.92915067521959,-4.90508074927383,-4.88412679090066,-4.85553639170638,-4.83912780662693,-4.82154408894673,-4.80855517271851,-4.79795601724592,-4.78359138907388,-4.7648138867851,-4.74733355085561,-4.73186947593475,-4.71493620564164,-4.70081879655933,-4.68616614359423,-4.66932088955073,-4.65376368864317,-4.64107193837302,-4.62250293649093,-4.60757807974391,-4.58864759215823,-4.57223260193876,-4.55225464472568,-4.54043714826967,-4.52645333377835,-4.51311559274243,-4.50052615601129,-4.48524150224734,-4.46601284760069,-4.44769906847598,-4.43189146241191,-4.41794389900604,-4.40493647446614,-4.38698252303773,-4.37658797342825,-4.34954233087819,-4.33274238767572,-4.31236103553352,-4.30324929090479,-4.28664159725095,-4.26941154382487,-4.25508716677313,-4.22540681049371,-4.20254468834179,-4.18460591964895,-4.16279392136242,-4.14080112649299,-4.11103357751367,-4.09196577944324,-4.06502089738557,-4.04542992001822,-4.01300685593579,-3.98226681338866,-3.95451255609218,-3.92184830160882,-3.86447566815022,-3.82704225679279,-3.77213367726192,-3.7227523624459,-3.67892988003542,-3.60464361613758,-3.49442916777406,-3.27925466672698,-3.09642203970618,-2.76463790713222,-2.42409000844018,-2.14509541947479,-1.9652487370521,-1.80358139757514,-1.66485605212621,-1.51696781960194,-1.34142477542092,-1.14728822511895
2,-6.45051802125849,-6.26877840133219,-6.18492067978099,-6.12249131633945,-6.03999312011414,-5.98949922502922,-5.91763767769979,-5.87048861175818,-5.82566726900254,-5.78496234993904,-5.75117254039182,-5.69989581802078,-5.66816540962781,-5.64581794488287,-5.62107063291628,-5.59217564371611,-5.56647561929243,-5.54002623912319,-5.51746877775151,-5.49113409293214,-5.46952059512059,-5.43799902699292,-5.40222870202782,-5.38018791559297,-5.36094796966009,-5.33838635186019,-5.31653854336995,-5.29027465073198,-5.27177779672648,-5.25186548645644,-5.22681790800182,-5.21666972175533,-5.19806164190882,-5.1809477214355,-5.16397117568256,-5.13126663737318,-5.11304499934383,-5.09133092744319,-5.06154953638927,-5.04744309835611,-5.02047178005385,-5.00379696142529,-4.98113433167562,-4.96092824690031,-4.94287184449664,-4.92001554455677,-4.90163503491058,-4.88036855733756,-4.85041054416087,-4.82184592769515,-4.79691097622507,-4.76958110326662,-4.74289274413681,-4.72211322644413,-4.68129429015246,-4.64748987372972,-4.6033768411104,-4.55909707694904,-4.53211061683516,-4.4925958013503,-4.44010126101366,-4.39399520907203,-4.34794657311009,-4.28879410602894,-4.18547598095121,-4.03697637819718,-3.84387090569132,-3.70443652954472,-3.52310360615068,-3.36030297778414,-3.24481072081972,-3.10138356228474,-2.99687879464154,-2.87276947655395,-2.75792522200797,-2.69938491604913,-2.65355070560824,-2.59127663626862,-2.54138830028462,-2.49677668796023,-2.44943936288879,-2.40071544925946,-2.3563375118273,-2.30997685855323,-2.24677339300662,-2.19623318753946,-2.15569666463138,-2.11199842174159,-2.0477770575851,-1.99615340302009,-1.94913653599356,-1.90778184108167,-1.84004395609281,-1.79425495809268,-1.73136341396906,-1.64996907400793,-1.59022234520187,-1.48443398387739,-1.33645337908513
3,-5.38541451390459,-5.16288198648507,-5.06598087246002,-4.99112060705417,-4.91152263030931,-4.85548023676532,-4.76853944819083,-4.70988052983608,-4.66148634117221,-4.60713621704359,-4.55208057922292,-4.49988673062971,-4.44609523753386,-4.40165239619857,-4.34694772756123,-4.30084277986273,-4.27058788675355,-4.24169268088805,-4.21647612887281,-4.18115016380274,-4.15391276807753,-4.11697759241882,-4.09260510876606,-4.07653848748408,-4.05122141757,-4.02726193776606,-4.00618532178516,-3.98643582406359,-3.96715248469713,-3.95085980582429,-3.93371220859479,-3.91789110548985,-3.90468786336487,-3.89236250130902,-3.87399194408063,-3.85843481690569,-3.8452405038532,-3.83286016300762,-3.81159712836041,-3.79853702218076,-3.78362280081546,-3.76682865557276,-3.75327370142842,-3.73398426311239,-3.71850077574297,-3.70673996457344,-3.69251037349388,-3.67254719784451,-3.65893520743875,-3.64514530993602,-3.63003141322629,-3.61801719867539,-3.60555761778364,-3.59338548182002,-3.57459139495115,-3.56235611249581,-3.54422487908443,-3.52046511438675,-3.49752073430984,-3.47838578385647,-3.45734863965291,-3.43918786448364,-3.41658134190327,-3.40048149785547,-3.37641463387178,-3.35600138791237,-3.33806626475424,-3.3157651568959,-3.28867593240568,-3.26588831608709,-3.24127415553404,-3.21241516597555,-3.19130092675156,-3.1620367419371,-3.13163339395879,-3.0917309467312,-3.02750968082937,-2.99586623214427,-2.9599696091168,-2.9305187646156,-2.88480459282831,-2.81863224493456,-2.73083491295294,-2.63756926201438,-2.49826889757455,-2.32192019119423,-2.13992829462818,-1.91706176857441,-1.63880128369239,-1.4320567885734,-1.18137487891196,-1.04571509340587,-0.874154998993283,-0.763049538458345,-0.648437197031839,-0.51978728261799,-0.36531455184501,-0.172337771825367,0.103711146977609
4,-5.53770386636711,-5.34053284750411,-5.25442190953511,-5.14164364364015,-5.0812304400079,-5.01875502800927,-4.98261448589223,-4.92793729079978,-4.88709974647058,-4.84961200357392,-4.80316018232594,-4.77149895277354,-4.73469063894738,-4.6783759907744,-4.60940956215697,-4.5480837453732,-4.4980932834852,-4.43958488491273,-4.39410297269543,-4.31364831298246,-4.19803498103918,-4.11028551115578,-4.05335843009874,-3.97992982700023,-3.89873415329669,-3.84316112944617,-3.79211204035968,-3.73345819824069,-3.69119038813091,-3.65610378921162,-3.62806760279333,-3.59898753902067,-3.56118920396142,-3.52189252445932,-3.49217624496772,-3.46453229880657,-3.44115490358626,-3.41557961921357,-3.3920052928041,-3.36087668295542,-3.32803592198026,-3.291744748576,-3.26837292324091,-3.24497892695259,-3.21252921153886,-3.19441674600451,-3.16398836346105,-3.13975584106314,-3.10980253401482,-3.08308823205596,-3.05123123122987,-3.03243408606098,-2.98916756317042,-2.94934487278102,-2.91505610915453,-2.87806637233703,-2.84427906204411,-2.790517327676,-2.73344760814949,-2.6241216841669,-2.55333902760129,-2.38145740641061,-2.22109941004705,-1.98077906753524,-1.79478386030777,-1.67949467556277,-1.55765942160744,-1.43105196369013,-1.32381067463447,-1.22408054047171,-1.14605653290632,-1.08859040799381,-1.03430626400085,-0.969166030123625,-0.910837951435897,-0.857692585339088,-0.821862526501307,-0.7756582814185,-0.745818856574666,-0.707837085045267,-0.662597657090205,-0.636437790248892,-0.601578454595949,-0.549207044662626,-0.502722975435701,-0.451393784311565,-0.413856142013502,-0.362177329728723,-0.31585035931023,-0.282555111498135,-0.239903109675796,-0.211068775668398,-0.176267921626756,-0.0949068363282933,-0.0283844184277213,0.0178972645899504,0.0753196552269036,0.178831419411725,0.308247306712028
5,-6.22940381083698,-5.98177690142247,-5.84952497129831,-5.77282113601493,-5.73709324932511,-5.71194490011395,-5.68130565489527,-5.64624621310113,-5.61386895683767,-5.5820631703497,-5.55180914255593,-5.52981371582499,-5.50794614722203,-5.49364711658014,-5.47440213949843,-5.45402073401108,-5.43022326971169,-5.41744491472319,-5.40579017681134,-5.39247526608464,-5.36825284465222,-5.35214537405517,-5.33397068034264,-5.31732001430255,-5.30359134759982,-5.29277152442631,-5.28070119620601,-5.26989555715526,-5.25581436056603,-5.24448376110653,-5.22790285823481,-5.21526057157231,-5.20095763803132,-5.1868470742891,-5.1759745889401,-5.1618032452761,-5.14765080074608,-5.13331126003664,-5.12298170141431,-5.10780121145209,-5.09327786287476,-5.08167395396994,-5.06908520823996,-5.05371363905771,-5.03483707764799,-5.01840496581033,-5.00414396461407,-4.99109259620393,-4.98373021704935,-4.96961930575139,-4.9558546847205,-4.94643651396722,-4.92980769826266,-4.91583409090526,-4.89862778173531,-4.8745289209291,-4.86380650936373,-4.85084677108048,-4.83658876089421,-4.82410429290785,-4.81108956029001,-4.79970033109209,-4.78787041263472,-4.77930048469635,-4.76478045768683,-4.74831471446019,-4.73683972000191,-4.72521482069982,-4.70400225938819,-4.68700855951794,-4.66563527123651,-4.64625851994398,-4.63165531372709,-4.62065827308917,-4.60611170409143,-4.57876540077452,-4.55994507629,-4.540779352269,-4.51751974876705,-4.49178838740587,-4.47406373177482,-4.45386596217634,-4.43488801606991,-4.41079063079674,-4.38568974405307,-4.35666803633904,-4.32274771673331,-4.2825206306363,-4.24270804104118,-4.19634792928072,-4.15329565990965,-4.10519949565747,-4.06527559835454,-4.0030555734857,-3.95738579536845,-3.8496226341538,-3.75439715343539,-3.59810816753285,-3.47367531337655
6,-5.75290989508763,-5.5862850710195,-5.42400134622691,-5.36911206784272,-5.31506494109617,-5.25622057788239,-5.21044488241298,-5.17129908236596,-5.12111353921847,-5.09138602249426,-5.05147526299121,-5.02394934212291,-4.98687905459983,-4.95471427351211,-4.93239745581739,-4.88584496896257,-4.85110218338887,-4.82281773128675,-4.80235987056497,-4.77580754467292,-4.72558237685785,-4.69899984492834,-4.66726544290981,-4.64326217503922,-4.60554005046721,-4.56954750416381,-4.52597241013692,-4.49169830179867,-4.46323014228343,-4.43286540271517,-4.40895473387406,-4.38510391810862,-4.35053981232193,-4.31911365140385,-4.2903216624709,-4.2727775835223,-4.25409954377806,-4.22843309809272,-4.21335864993727,-4.19268985079397,-4.17172384270687,-4.15771622253033,-4.13854798269535,-4.12373165559396,-4.10570022533558,-4.08633014156977,-4.06752842996738,-4.0474756482905,-4.03066994467352,-4.01378929275504,-3.99022891332532,-3.97366754051191,-3.95910149448514,-3.94344219055515,-3.92754566605533,-3.90774540631221,-3.89267872066276,-3.87786216968084,-3.86093870410024,-3.85031429438247,-3.83928876379963,-3.82291692361505,-3.80134895363035,-3.78675564023887,-3.76418582807207,-3.74675406087279,-3.72803017134856,-3.71164700148029,-3.69324240691453,-3.67071723761912,-3.64571239852104,-3.62226087310303,-3.60095077089948,-3.56850338495247,-3.54085116256302,-3.51831725984129,-3.48314241626347,-3.4398565526294,-3.40008617045038,-3.36468682138874,-3.32039887050682,-3.24678446272743,-3.16699859128764,-3.07332661822307,-3.00026055587625,-2.92702992346579,-2.85486811190544,-2.73993366536204,-2.62542290213845,-2.53648123300852,-2.41607783175427,-2.32921886027166,-2.18081282684293,-1.97175906313105,-1.82417140189414,-1.64019613833567,-1.48786682018491,-1.1816104977763,-0.894180066121263
7,-5.6975942147302,-5.47464090984788,-5.38603811622239,-5.30653282083137,-5.26535495223379,-5.23782616422318,-5.21276658781954,-5.18054517431497,-5.15074928966288,-5.12936837968242,-5.10935764077864,-5.09098993781378,-5.06910459717639,-5.05303317107856,-5.0311177557832,-5.00922333287131,-4.99626723579615,-4.98042911570791,-4.96357900644508,-4.9510443121956,-4.93514225323336,-4.91972616651203,-4.90547203965746,-4.89085433438926,-4.87148431447979,-4.85860419106,-4.84786713804693,-4.83640643702854,-4.82446596921222,-4.81532094894121,-4.8041428219158,-4.7954214389629,-4.78567224447961,-4.77347013993559,-4.76419240381472,-4.75386557847186,-4.74230073583175,-4.72800488174406,-4.718432347284,-4.70611914152881,-4.69474319716357,-4.68612985270239,-4.67323041831999,-4.66379670570055,-4.65325293056448,-4.64150923919053,-4.6333382847874,-4.62235404136259,-4.61018291031561,-4.59953614429762,-4.5862739279754,-4.57593487014394,-4.56543388360884,-4.55187380360535,-4.54312209659308,-4.52535987688753,-4.50955305087362,-4.49589409597142,-4.48690743609751,-4.47590336526312,-4.46547746212162,-4.45174108396243,-4.44161152068572,-4.43073810412695,-4.42038992707004,-4.41086055506146,-4.39953491792098,-4.38810932627194,-4.37742071029907,-4.36416579310231,-4.34973258640778,-4.33605180404873,-4.32354798109392,-4.31297949547557,-4.29852863690588,-4.28032052081779,-4.27021868732529,-4.25197437657263,-4.23985022017954,-4.22429818274461,-4.20529360857236,-4.18500450332479,-4.17459814740836,-4.15627334067443,-4.13798193519097,-4.11370771409137,-4.09356679836147,-4.06382368617182,-4.0239397207992,-3.98735065697534,-3.95039667302659,-3.91192131630334,-3.8323033787992,-3.77801783824899,-3.70825358886243,-3.5632940122674,-3.40026012135818,-3.03985901418454,-2.41961216717955
8,-5.70159633469573,-5.52904045238157,-5.42060929256371,-5.34779675621786,-5.27022899229826,-5.21717833560084,-5.16732360630949,-5.11358440440382,-5.07287318415935,-5.03182578728558,-4.99108294505699,-4.92751289053873,-4.87938495297743,-4.84693376606087,-4.79678464495479,-4.75208624879425,-4.71089578495246,-4.67366438954718,-4.60770665387015,-4.56256521337253,-4.51634881056991,-4.48583803664099,-4.46254116646702,-4.42713760524687,-4.4074052531966,-4.37519349974523,-4.35269374436146,-4.33158864060383,-4.31012739820907,-4.28783133230974,-4.26978741695342,-4.25056275709713,-4.22927546806825,-4.2157102554547,-4.18956651124062,-4.1745146038521,-4.15616168367711,-4.13764040740315,-4.12143753834254,-4.10531067166466,-4.08518168057175,-4.06496601304116,-4.05046434459549,-4.03368847852964,-4.01301132909595,-3.99959444173773,-3.98749735304608,-3.97117569630633,-3.95185114013371,-3.93391661615089,-3.92270624232274,-3.91112386262292,-3.89708204207653,-3.88250716805089,-3.86873823517983,-3.85304075623106,-3.83896780875037,-3.82416542378843,-3.80903498516597,-3.7903588813032,-3.78083775609971,-3.76221489420558,-3.75016374892994,-3.73518073408364,-3.71669254618796,-3.69809923914885,-3.67191143505344,-3.65691219963272,-3.643985940128,-3.61879999003555,-3.58835419707006,-3.56461996069406,-3.53880414428396,-3.5117792268711,-3.47307543147264,-3.44290699228957,-3.38843955541508,-3.35840899167977,-3.29270246613781,-3.2349773346177,-3.16045139691852,-3.07410967122999,-2.95918083339157,-2.89250498799493,-2.80407662946893,-2.75696306695692,-2.69813656419324,-2.60829535079074,-2.54113983486204,-2.46116928859342,-2.38156040437899,-2.28622665243932,-2.22237900135524,-2.10740292125721,-1.85685504184894,-1.71895325971938,-1.53749273516762,-1.33219446094667,-1.13484663623137
9,-3.72262878022728,-3.33764709801891,-3.12585492228283,-2.8797554685357,-2.67807951011568,-2.59214246562148,-2.53370736307382,-2.44692079678201,-2.39515372557054,-2.33067535576179,-2.2562227516007,-2.20562308162139,-2.15607395045333,-2.09593086947996,-2.04571979530851,-2.01109872529105,-1.97516103568547,-1.94754514445686,-1.91165817887191,-1.88215339962942,-1.85990846794007,-1.83783813552494,-1.80374270474474,-1.78262221005854,-1.75751477090566,-1.73736469472447,-1.72400861521132,-1.70522608175246,-1.68782955332944,-1.67024916759549,-1.65419626338193,-1.6336373810107,-1.61466319192925,-1.59597664069784,-1.58135637581147,-1.56591380783244,-1.55355982141661,-1.53505216479129,-1.51859569013753,-1.50430006521956,-1.49036760183427,-1.47721951201806,-1.46268030889636,-1.45252750175272,-1.44123388655816,-1.42712979806033,-1.41326995289451,-1.39983804843027,-1.38580602710185,-1.36964021702502,-1.3592261902158,-1.33956814280859,-1.33005878322698,-1.32151814455094,-1.30835903232741,-1.29593386604972,-1.28191035987079,-1.2648163163409,-1.24832374890908,-1.23342434475308,-1.22275319118102,-1.20621657796302,-1.18882568169748,-1.17340954674559,-1.15982934924161,-1.14325581237447,-1.12939484135588,-1.11736818337809,-1.10406576824416,-1.091873396527,-1.08062409908997,-1.06335846897044,-1.04540656145042,-1.03392115902532,-1.01518869291385,-1.0043891529048,-0.991636264385218,-0.979924615765854,-0.968226133111293,-0.943680456904386,-0.925836591365704,-0.911700435111305,-0.893072809297556,-0.876695340106583,-0.855185020621415,-0.836118000592635,-0.823592992409358,-0.801976007945628,-0.783473733674876,-0.75500649643096,-0.722872944946348,-0.705380617280813,-0.667763285502458,-0.642241201535018,-0.612224505173123,-0.579677042011178,-0.521184902452108,-0.456298357408586,-0.392748489087245
10,-6.17501712579347,-6.0359679923387,-5.94320369370031,-5.89211361499459,-5.80583765413003,-5.74680637933219,-5.68149136728693,-5.63106586495983,-5.56283834579561,-5.51202835186858,-5.48391102117092,-5.44423537920149,-5.38600263804131,-5.34023103664844,-5.27545737966315,-5.20837160478411,-5.13576284332268,-5.09853427861439,-5.02329060495524,-4.9508728313666,-4.89379222539962,-4.83471125932341,-4.78079925378554,-4.73570829490067,-4.70040011671936,-4.65160800810643,-4.62547494678743,-4.59774305903253,-4.56969902575573,-4.52699791533267,-4.49863908238989,-4.47016999946385,-4.44683450173152,-4.42728468371776,-4.40341406642063,-4.36566630351872,-4.34339382744461,-4.32253325186916,-4.30096880179068,-4.27841939454733,-4.2505298389066,-4.22698588517631,-4.20143525311477,-4.17755742192367,-4.15732917050997,-4.13195965009662,-4.10454741129612,-4.08670981817734,-4.06404649626255,-4.03221933801977,-3.9984316336934,-3.97662760801157,-3.95159728788524,-3.92647053747785,-3.88477673587826,-3.86339557526738,-3.83778565892003,-3.80798381807835,-3.76229309071554,-3.71862899333718,-3.66757115868261,-3.6108912801106,-3.53893213361374,-3.42745747080829,-3.31512260023243,-3.09910625315859,-2.91047829842711,-2.7838663109651,-2.63029714390495,-2.47620791378036,-2.35909379504456,-2.24455116370756,-2.10281131439421,-2.03406111443614,-1.95399242191813,-1.90124450906474,-1.8488683054616,-1.77640408480248,-1.73207531923802,-1.66300914551759,-1.61376054540076,-1.5676107691722,-1.51853685058987,-1.48280914432012,-1.44560473169094,-1.41969516898075,-1.36898081124563,-1.329307003674,-1.27753085756987,-1.21898799195587,-1.15408722879108,-1.10848455132126,-1.05157931302287,-1.00734957548039,-0.94356048136983,-0.886010614275919,-0.808590433996894,-0.724775669707209,-0.583951163798552
